Date,Action,Symbol,Shares,Price,Cost
01/02/2015,BUY,IPHI,563,17.74,7.0
01/08/2015,BUY,CMG,13,719.99,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/23/2015,BUY,TSM,416,23.99,7.0
01/23/2015,BUY,SBGL,943,10.59,7.0
01/30/2015,SELL,TSM,416,22.71,7.0
02/04/2015,SELL,CMG,13,676.0,7.0
02/06/2015,SELL,IPHI,563,18.5,7.0
02/06/2015,BUY,CME,106,94.21,7.0
02/06/2015,BUY,VRSN,166,59.97,7.0
02/06/2015,BUY,CUBI,460,21.69,7.0
02/17/2015,SELL,SBGL,943,10.19,7.0
02/17/2015,BUY,PAHC,302,33.0,7.0
03/04/2015,BUY,SBUX,64,93.06,7.0
03/10/2015,BUY,VRSN,95,62.78,7.0
03/17/2015,BUY,PAHC,170,35.2,7.0
03/24/2015,BUY,CME,61,97.34,7.0
03/26/2015,BUY,VRSN,61,64.92,7.0
04/06/2015,SELL,CME,167,92.095,7.0
04/08/2015,BUY,GSM,481,20.76,7.0
04/09/2015,BUY,CUBI,247,24.21,7.0
04/17/2015,SELL,PAHC,472,33.39,7.0
04/17/2015,BUY,CE,148,67.18,7.0
04/20/2015,BUY,SBUX,83,47.97,7.0
04/24/2015,SELL,VRSN,322,65.04,7.0
04/24/2015,BUY,IMS,344,29.0,7.0
04/30/2015,SELL,GSM,481,19.92,7.0
04/30/2015,BUY,IPHI,465,21.45,7.0
05/01/2015,BUY,CUBI,159,25.07,7.0
05/05/2015,SELL,IMS,344,27.47,7.0
05/05/2015,BUY,SC,411,24.27,7.0
06/25/2015,BUY,IPHI,238,25.1,7.0
06/25/2015,BUY,SC,232,25.8,7.0
