Date,Action,Symbol,Shares,Price,Cost
01/08/2015,BUY,TSRO,480,41.61,8.0
01/08/2015,BUY,CMG,27,719.99,8.0
01/12/2015,SELL,CMG,27,711.7,8.0
01/13/2015,SELL,TSRO,480,40.0,8.0
01/22/2015,BUY,TSM,843,23.71,8.0
01/22/2015,BUY,CCI,234,85.25,8.0
01/23/2015,BUY,SBUX,226,88.22,8.0
01/23/2015,BUY,CSWC,469,42.59,8.0
01/29/2015,SELL,TSM,843,23.29,8.0
02/06/2015,BUY,CME,212,94.21,8.0
02/06/2015,BUY,VRSN,333,59.97,8.0
03/25/2015,SELL,CCI,234,84.64,8.0
04/06/2015,SELL,CME,212,92.095,8.0
04/08/2015,BUY,CHL,277,71.94,8.0
04/09/2015,BUY,EIGI,952,20.98,8.0
04/17/2015,SELL,CHL,277,67.68,8.0
04/17/2015,SELL,CSWC,469,47.01,8.0
04/17/2015,BUY,CE,297,67.18,8.0
04/21/2015,BUY,OCR,246,81.07,8.0
04/28/2015,SELL,EIGI,952,19.7,8.0
04/28/2015,BUY,SC,833,24.0,8.0
04/29/2015,SELL,VRSN,333,64.14,8.0
04/29/2015,BUY,VRSK,260,76.85,8.0
05/06/2015,SELL,VRSK,260,72.49,8.0
05/07/2015,SELL,CE,297,66.5,8.0
05/20/2015,BUY,TTPH,441,45.33,8.0
05/20/2015,BUY,ATRI,54,369.27,8.0
05/21/2015,SELL,OCR,246,96.26,8.0
05/21/2015,BUY,ACET,845,23.65,8.0
05/22/2015,SELL,TTPH,441,42.94,8.0
05/27/2015,BUY,AVGO,141,141.49,8.0
