Date,Action,Symbol,Shares,Price,Cost
01/08/2015,BUY,CMG,13,719.99,7.0
01/08/2015,BUY,MRVL,623,16.015,7.0
01/14/2015,SELL,MRVL,623,15.51,7.0
01/22/2015,BUY,TSM,421,23.71,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,TSM,421,22.71,7.0
02/04/2015,SELL,CMG,13,676.0,7.0
02/05/2015,BUY,BOOT,418,23.87,7.0
02/06/2015,BUY,CME,106,94.21,7.0
02/06/2015,BUY,VRSN,166,59.97,7.0
02/06/2015,BUY,COST,67,148.7,7.0
02/17/2015,SELL,BOOT,418,22.24,7.0
02/17/2015,BUY,PAHC,302,33.0,7.0
03/04/2015,BUY,SBUX,64,93.06,7.0
03/10/2015,BUY,VRSN,95,62.78,7.0
03/17/2015,BUY,PAHC,170,35.2,7.0
03/24/2015,BUY,CME,61,97.34,7.0
03/26/2015,BUY,VRSN,61,64.92,7.0
04/06/2015,SELL,CME,167,92.095,7.0
04/08/2015,BUY,SIX,206,48.49,7.0
04/17/2015,SELL,COST,67,144.57,7.0
04/17/2015,SELL,PAHC,472,33.39,7.0
04/17/2015,BUY,CE,148,67.18,7.0
04/17/2015,BUY,NGHC,518,19.28,7.0
04/20/2015,BUY,SBUX,83,47.97,7.0
04/24/2015,SELL,VRSN,322,65.04,7.0
04/24/2015,BUY,IMS,344,29.0,7.0
04/29/2015,SELL,SIX,206,47.26,7.0
04/29/2015,BUY,VRSK,130,76.85,7.0
05/05/2015,SELL,IMS,344,27.47,7.0
05/05/2015,BUY,SC,411,24.27,7.0
05/06/2015,SELL,VRSK,130,72.49,7.0
05/15/2015,BUY,PAYC,283,35.29,7.0
05/21/2015,BUY,NGHC,301,19.89,7.0
05/26/2015,SELL,NGHC,819,19.17,7.0
05/26/2015,BUY,UEPS,700,14.26,7.0
06/24/2015,BUY,PAYC,163,36.75,7.0
06/25/2015,BUY,SC,232,25.8,7.0
