Date,Action,Symbol,Shares,Price,Cost
01/04/2013,BUY,IEP,164,50.74,7.0
01/07/2013,BUY,NSM,214,38.83,7.0
01/07/2013,BUY,RNF,195,42.57,7.0
01/11/2013,BUY,HTHT,465,17.92,7.0
01/17/2013,BUY,CLW,188,44.24,7.0
01/18/2013,SELL,NSM,214,35.81,7.0
02/06/2013,BUY,RNF,104,47.8,7.0
02/11/2013,SELL,RNF,299,43.65,7.0
02/20/2013,SELL,HTHT,465,17.84,7.0
03/04/2013,BUY,IX,137,60.71,7.0
03/07/2013,BUY,IEP,81,61.03,7.0
03/13/2013,SELL,IEP,245,60.58,7.0
03/28/2013,BUY,SIG,124,67.0,7.0
04/05/2013,BUY,TSLA,201,41.37,7.0
04/10/2013,BUY,CLW,97,51.09,7.0
04/15/2013,SELL,CLW,285,47.72,7.0
05/03/2013,BUY,IX,66,75.71,7.0
05/14/2013,BUY,QIHU,215,38.77,7.0
05/15/2013,BUY,SMTC,232,35.92,7.0
05/22/2013,BUY,INXN,310,26.84,7.0
05/24/2013,SELL,IX,203,69.32,7.0
05/24/2013,BUY,PCP,39,210.73,7.0
06/05/2013,SELL,SIG,124,66.71,7.0
06/18/2013,BUY,PRLB,133,62.53,7.0
06/20/2013,SELL,INXN,310,25.05,7.0
06/20/2013,SELL,PCP,39,213.48,7.0
06/20/2013,BUY,CTB,269,30.97,7.0
06/21/2013,SELL,PRLB,133,60.0,7.0
06/24/2013,SELL,SMTC,232,34.51,7.0
07/02/2013,BUY,AYI,102,81.39,7.0
07/17/2013,BUY,TSLA,41,120.25,7.0
07/31/2013,BUY,JCI,207,40.21,7.0
08/07/2013,BUY,GNC,158,52.51,7.0
08/19/2013,SELL,CTB,269,32.25,7.0
08/20/2013,BUY,CSC,160,52.1,7.0
08/21/2013,SELL,GNC,158,50.77,7.0
08/28/2013,SELL,CSC,160,50.01,7.0
08/29/2013,BUY,ATVI,498,16.75,7.0
09/04/2013,BUY,AYI,57,86.61,7.0
09/04/2013,BUY,SALE,236,35.3,7.0
09/10/2013,BUY,TSLA,20,166.37,7.0
09/11/2013,SELL,SALE,236,32.61,7.0
09/11/2013,BUY,AKRX,449,18.58,7.0
09/18/2013,BUY,QIHU,58,85.94,7.0
09/26/2013,BUY,AYI,36,92.15,7.0
09/27/2013,SELL,ATVI,498,16.82,7.0
09/27/2013,BUY,AVG,333,25.03,7.0
10/03/2013,SELL,AVG,333,23.25,7.0
10/03/2013,BUY,KS,188,44.34,7.0
10/07/2013,SELL,JCI,207,40.74,7.0
10/07/2013,BUY,FUL,189,44.04,7.0
10/23/2013,SELL,TSLA,262,164.5,7.0
10/23/2013,BUY,FIVE,172,48.43,7.0
10/24/2013,BUY,QIHU,37,89.0,7.0
10/28/2013,SELL,QIHU,310,81.9,7.0
10/28/2013,BUY,TMH,191,43.66,7.0
11/04/2013,BUY,AKRX,240,20.82,7.0
11/12/2013,BUY,FUL,102,48.75,7.0
12/03/2013,BUY,KS,94,53.01,7.0
12/04/2013,BUY,FUL,66,50.16,7.0
12/04/2013,SELL,FIVE,172,49.71,7.0
12/04/2013,BUY,GNRC,158,52.8,7.0
12/13/2013,BUY,AKRX,135,24.58,7.0
12/19/2013,SELL,TMH,191,44.47,7.0
12/19/2013,BUY,NXPI,193,43.1,7.0
01/06/2014,SELL,NXPI,193,43.12,7.0
01/06/2014,BUY,LOCK,510,16.35,7.0
01/08/2014,SELL,AKRX,824,22.89,7.0
01/08/2014,BUY,AZPN,197,42.17,7.0
01/09/2014,BUY,KS,120,27.65,7.0
01/13/2014,SELL,GNRC,158,54.18,7.0
01/13/2014,BUY,ENV,195,42.75,7.0
01/21/2014,SELL,FUL,357,49.43,7.0
01/21/2014,BUY,NVDQ,424,19.66,7.0
01/24/2014,SELL,NVDQ,424,18.84,7.0
01/24/2014,BUY,GNTX,249,33.5,7.0
01/27/2014,SELL,AZPN,197,40.43,7.0
01/29/2014,SELL,ENV,195,42.52,7.0
01/31/2014,SELL,GNTX,249,32.39,7.0
02/04/2014,BUY,NSC,90,91.79,7.0
02/07/2014,BUY,PFPT,210,39.62,7.0
02/07/2014,BUY,LVNTA,66,126.16,7.0
02/19/2014,SELL,NSC,90,90.32,7.0
02/19/2014,BUY,FLS,103,80.6,7.0
03/12/2014,SELL,FLS,103,78.18,7.0
03/12/2014,BUY,NUVA,222,37.48,7.0
03/13/2014,BUY,LOCK,248,20.1,7.0
03/18/2014,BUY,LVNTA,35,142.31,7.0
03/21/2014,SELL,PFPT,210,39.15,7.0
03/21/2014,SELL,LOCK,758,19.56,7.0
03/24/2014,BUY,MFRM,176,47.23,7.0
03/25/2014,BUY,HUBB,69,119.96,7.0
03/26/2014,SELL,LVNTA,101,130.34,7.0
03/26/2014,SELL,HUBB,69,116.79,7.0
03/26/2014,SELL,NUVA,222,37.23,7.0
03/26/2014,SELL,KS,684,28.71,7.0
03/26/2014,BUY,SN,293,28.41,7.0
03/27/2014,SELL,AYI,195,128.15,7.0
03/28/2014,BUY,STRZA,260,32.07,7.0
03/31/2014,BUY,HEI,138,60.16,7.0
04/01/2014,BUY,TWC,60,137.55,7.0
04/02/2014,BUY,RARE,157,53.03,7.0
04/04/2014,SELL,RARE,157,50.67,7.0
04/07/2014,SELL,HEI,138,58.23,7.0
04/07/2014,SELL,SN,293,28.31,7.0
04/07/2014,SELL,TWC,60,136.24,7.0
04/10/2014,SELL,MFRM,176,45.87,7.0
04/10/2014,SELL,STRZA,260,31.46,7.0
04/15/2014,BUY,BCPC,133,62.28,7.0
04/17/2014,BUY,WSO,80,104.18,7.0
04/21/2014,BUY,AZN,120,69.1,7.0
04/22/2014,SELL,AZN,120,66.86,7.0
04/30/2014,BUY,ZBH,86,96.8,7.0
05/01/2014,BUY,KEX,77,107.84,7.0
05/06/2014,SELL,BCPC,133,58.0,7.0
05/14/2014,SELL,WSO,80,100.69,7.0
05/28/2014,BUY,CAL,284,29.3,7.0
06/02/2014,SELL,CAL,284,27.83,7.0
06/09/2014,BUY,MTSI,379,21.99,7.0
06/11/2014,BUY,LNG,125,66.58,7.0
06/11/2014,BUY,FCNCA,33,251.91,7.0
06/17/2014,BUY,JWA,138,60.1,7.0
06/25/2014,BUY,ZBH,47,105.37,7.0
06/30/2014,SELL,FCNCA,33,245.0,7.0
06/30/2014,BUY,APD,64,128.62,7.0
07/07/2014,SELL,ZBH,133,104.48,7.0
07/07/2014,BUY,FNV,147,56.39,7.0
07/08/2014,SELL,MTSI,379,21.03,7.0
07/08/2014,BUY,GMLP,234,35.57,7.0
07/11/2014,BUY,KEX,42,116.49,7.0
07/15/2014,SELL,GMLP,234,34.4,7.0
07/15/2014,BUY,TGNA,262,31.82,7.0
07/17/2014,SELL,JWA,138,60.06,7.0
07/17/2014,BUY,TAHO,312,26.73,7.0
