Date,Action,Symbol,Shares,Price,Cost
01/04/2013,BUY,IEP,196,50.74,7.0
01/07/2013,BUY,NSM,257,38.83,7.0
01/07/2013,BUY,RNF,234,42.57,7.0
01/11/2013,BUY,HTHT,557,17.92,7.0
01/16/2013,BUY,PRLB,233,42.71,7.0
01/17/2013,SELL,NSM,257,36.77,7.0
01/17/2013,BUY,CLW,225,44.24,7.0
01/25/2013,BUY,RNF,132,45.37,7.0
02/06/2013,SELL,PRLB,233,39.99,7.0
02/06/2013,BUY,RNF,83,47.8,7.0
02/11/2013,SELL,RNF,449,43.65,7.0
02/20/2013,SELL,HTHT,557,17.84,7.0
03/04/2013,SELL,IEP,196,61.38,7.0
03/04/2013,BUY,IX,164,60.71,7.0
04/10/2013,BUY,CLW,117,51.09,7.0
04/15/2013,SELL,CLW,342,47.72,7.0
05/03/2013,BUY,IX,79,75.71,7.0
05/14/2013,BUY,QIHU,257,38.77,7.0
05/15/2013,BUY,SMTC,278,35.92,7.0
05/23/2013,SELL,IX,243,70.88,7.0
06/18/2013,BUY,PRLB,159,62.53,7.0
06/21/2013,SELL,PRLB,159,60.0,7.0
06/24/2013,SELL,SMTC,278,34.51,7.0
06/27/2013,BUY,SSTK,186,53.56,7.0
07/02/2013,BUY,AYI,122,81.39,7.0
07/23/2013,SELL,SSTK,186,54.17,7.0
08/08/2013,BUY,AYI,69,86.6,7.0
09/04/2013,BUY,SALE,283,35.3,7.0
09/11/2013,SELL,SALE,283,32.61,7.0
09/12/2013,BUY,WBA,187,53.29,7.0
09/16/2013,BUY,AVG,406,24.6,7.0
09/18/2013,BUY,QIHU,69,85.94,7.0
09/26/2013,BUY,AYI,43,92.15,7.0
09/26/2013,BUY,FUL,230,43.28,7.0
10/03/2013,SELL,AVG,406,23.25,7.0
10/08/2013,SELL,QIHU,326,77.24,7.0
10/10/2013,BUY,WBA,107,56.0,7.0
10/11/2013,BUY,TTM,309,32.32,7.0
10/16/2013,BUY,TMH,230,43.43,7.0
10/17/2013,SELL,TTM,309,30.95,7.0
10/17/2013,BUY,STNG,916,10.9,7.0
10/29/2013,SELL,TMH,230,43.56,7.0
10/29/2013,BUY,BDBD,570,17.52,7.0
10/31/2013,SELL,BDBD,570,16.39,7.0
10/31/2013,BUY,WBA,67,59.24,7.0
10/31/2013,BUY,FUL,125,47.87,7.0
10/31/2013,BUY,KS,192,51.96,7.0
11/07/2013,SELL,KS,192,48.25,7.0
11/21/2013,BUY,FUL,80,49.6,7.0
11/25/2013,BUY,BLMN,371,26.91,7.0
12/02/2013,SELL,BLMN,371,25.36,7.0
12/03/2013,SELL,STNG,916,11.08,7.0
12/04/2013,SELL,WBA,361,57.57,7.0
12/10/2013,BUY,TWTR,192,51.99,7.0
12/16/2013,BUY,GNTX,309,32.285,7.0
01/02/2014,BUY,VWDRY,960,10.4034,7.0
01/03/2014,SELL,GNTX,309,32.3,7.0
01/03/2014,BUY,MKTO,242,41.22,7.0
01/09/2014,SELL,TWTR,192,57.05,7.0
01/09/2014,BUY,M,179,55.8,7.0
01/17/2014,SELL,FUL,435,49.51,7.0
01/27/2014,SELL,VWDRY,960,10.01,7.0
01/29/2014,SELL,M,179,53.39,7.0
02/03/2014,SELL,MKTO,242,38.83,7.0
02/10/2014,BUY,SALE,241,41.33,7.0
02/12/2014,BUY,SN,315,31.72,7.0
02/13/2014,BUY,TWC,69,144.81,7.0
02/18/2014,SELL,SN,315,29.74,7.0
02/18/2014,BUY,NMBL,199,49.99,7.0
02/19/2014,BUY,FLS,123,80.6,7.0
02/26/2014,SELL,TWC,69,137.76,7.0
02/26/2014,BUY,HEI,159,62.7,7.0
03/03/2014,SELL,NMBL,199,46.15,7.0
03/04/2014,BUY,NUVA,254,39.29,7.0
03/05/2014,BUY,SALE,136,43.78,7.0
03/06/2014,SELL,NUVA,254,37.29,7.0
03/07/2014,BUY,AGIO,219,45.45,7.0
03/10/2014,SELL,SALE,377,40.6,7.0
03/11/2014,SELL,AGIO,219,42.96,7.0
03/11/2014,BUY,EMES,199,50.1,7.0
03/13/2014,SELL,FLS,123,75.74,7.0
03/14/2014,BUY,MFRM,212,46.99,7.0
03/26/2014,SELL,HEI,159,58.74,7.0
03/27/2014,SELL,AYI,234,128.15,7.0
04/10/2014,SELL,MFRM,212,45.87,7.0
04/17/2014,BUY,WSO,95,104.18,7.0
04/21/2014,BUY,AZN,144,69.1,7.0
04/22/2014,SELL,AZN,144,66.86,7.0
05/01/2014,BUY,KEX,92,107.84,7.0
05/14/2014,SELL,WSO,95,100.69,7.0
05/28/2014,BUY,CAL,341,29.3,7.0
06/02/2014,SELL,CAL,341,27.83,7.0
06/09/2014,BUY,MTSI,454,21.99,7.0
06/11/2014,BUY,KEX,52,114.04,7.0
06/11/2014,BUY,FCNCA,39,251.91,7.0
06/13/2014,BUY,EMES,58,101.95,7.0
06/17/2014,BUY,JWA,166,60.1,7.0
06/20/2014,SELL,EMES,257,98.3,7.0
06/20/2014,BUY,GMLP,269,37.08,7.0
06/20/2014,SELL,KEX,144,115.3,7.0
06/20/2014,BUY,KS,300,33.21,7.0
06/25/2014,SELL,GMLP,269,36.29,7.0
06/25/2014,BUY,TGNA,325,30.67,7.0
06/26/2014,SELL,FCNCA,39,249.2,7.0
06/26/2014,BUY,MEI,265,37.68,7.0
07/01/2014,SELL,JWA,166,60.66,7.0
07/01/2014,BUY,ANET,131,76.0,7.0
07/07/2014,SELL,KS,300,30.55,7.0
07/07/2014,SELL,ANET,131,72.17,7.0
07/08/2014,SELL,MEI,265,35.76,7.0
