Date,Action,Symbol,Shares,Price,Cost
01/02/2015,BUY,VA,228,43.81,7.0
01/02/2015,BUY,CHRS,631,15.82,7.0
01/02/2015,BUY,MPLX,131,75.9,7.0
01/02/2015,BUY,KMI,233,42.81,7.0
01/02/2015,BUY,TUMI,427,23.35,7.0
01/05/2015,SELL,VA,228,41.68,7.0
01/05/2015,SELL,MPLX,131,72.31,7.0
01/05/2015,SELL,KMI,233,41.65,7.0
01/05/2015,SELL,TUMI,427,22.98,7.0
01/08/2015,BUY,CMG,13,719.99,7.0
01/14/2015,SELL,CMG,13,709.74,7.0
01/22/2015,BUY,TSM,421,23.71,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/23/2015,BUY,SABR,482,20.71,7.0
01/23/2015,BUY,HLT,376,26.56,7.0
01/27/2015,SELL,SABR,482,20.06,7.0
01/29/2015,SELL,TSM,421,23.29,7.0
01/30/2015,SELL,HLT,376,25.97,7.0
02/06/2015,BUY,CME,106,94.21,7.0
02/06/2015,BUY,VRSN,166,59.97,7.0
02/06/2015,BUY,COMM,337,29.62,7.0
03/04/2015,BUY,SBUX,64,93.06,7.0
03/06/2015,SELL,CHRS,631,27.48,7.0
03/06/2015,BUY,FL,168,59.37,7.0
03/10/2015,BUY,VRSN,95,62.78,7.0
03/24/2015,BUY,CME,61,97.34,7.0
03/26/2015,BUY,VRSN,61,64.92,7.0
03/31/2015,SELL,COMM,337,28.54,7.0
04/06/2015,SELL,CME,167,92.095,7.0
04/07/2015,BUY,FL,97,61.55,7.0
04/08/2015,BUY,CUDA,232,42.92,7.0
04/08/2015,BUY,KTWO,430,23.19,7.0
04/17/2015,SELL,FL,265,59.31,7.0
04/17/2015,BUY,CE,148,67.18,7.0
04/20/2015,BUY,SBUX,83,47.97,7.0
04/24/2015,SELL,VRSN,322,65.04,7.0
04/24/2015,BUY,IMS,344,29.0,7.0
04/27/2015,SELL,KTWO,430,22.0,7.0
04/27/2015,BUY,AVOL,447,22.35,7.0
04/30/2015,SELL,CUDA,232,40.53,7.0
04/30/2015,BUY,IPHI,465,21.45,7.0
05/05/2015,SELL,IMS,344,27.47,7.0
05/05/2015,SELL,IPHI,465,20.31,7.0
05/05/2015,BUY,IPHI,492,20.31,7.0
05/05/2015,BUY,EXAM,237,41.99,7.0
05/06/2015,SELL,EXAM,237,40.01,7.0
05/12/2015,SELL,CE,148,65.73,7.0
05/15/2015,BUY,PAYC,283,35.29,7.0
05/15/2015,BUY,CRTO,206,48.29,7.0
05/26/2015,BUY,AVOL,254,23.52,7.0
06/11/2015,SELL,CRTO,206,47.0,7.0
06/11/2015,BUY,MBLY,197,50.47,7.0
06/12/2015,SELL,AVOL,701,22.88,7.0
06/12/2015,BUY,HQY,358,27.89,7.0
06/24/2015,BUY,PAYC,163,36.75,7.0
