Date,Action,Symbol,Shares,Price,Cost
01/04/2013,BUY,IEP,98,50.74,7.0
01/07/2013,BUY,NSM,128,38.83,7.0
01/07/2013,BUY,RNF,117,42.57,7.0
01/11/2013,BUY,HTHT,278,17.92,7.0
01/16/2013,BUY,PRLB,116,42.71,7.0
01/17/2013,BUY,CLW,112,44.24,7.0
01/18/2013,SELL,NSM,128,35.81,7.0
01/25/2013,BUY,RNF,65,45.37,7.0
02/06/2013,SELL,PRLB,116,39.99,7.0
02/06/2013,BUY,RNF,41,47.8,7.0
02/11/2013,SELL,RNF,223,43.65,7.0
02/20/2013,SELL,HTHT,278,17.84,7.0
03/04/2013,SELL,IEP,98,61.38,7.0
03/04/2013,BUY,IX,82,60.71,7.0
04/10/2013,BUY,CLW,58,51.09,7.0
04/15/2013,SELL,CLW,170,47.72,7.0
05/03/2013,BUY,IX,39,75.71,7.0
05/14/2013,BUY,QIHU,128,38.77,7.0
05/15/2013,BUY,SMTC,139,35.92,7.0
05/22/2013,BUY,INXN,186,26.84,7.0
05/23/2013,SELL,IX,121,70.88,7.0
06/18/2013,BUY,PRLB,79,62.53,7.0
06/20/2013,SELL,INXN,186,25.05,7.0
06/21/2013,SELL,PRLB,79,60.0,7.0
06/24/2013,SELL,SMTC,139,34.51,7.0
06/27/2013,BUY,SSTK,93,53.56,7.0
07/02/2013,BUY,AYI,61,81.39,7.0
07/23/2013,SELL,SSTK,93,54.17,7.0
07/31/2013,BUY,JCI,124,40.21,7.0
08/08/2013,BUY,AYI,34,86.6,7.0
08/16/2013,BUY,CSC,96,51.55,7.0
08/28/2013,SELL,CSC,96,50.01,7.0
09/04/2013,BUY,SALE,141,35.3,7.0
09/11/2013,SELL,SALE,141,32.61,7.0
09/12/2013,BUY,WBA,93,53.29,7.0
09/16/2013,BUY,AVG,202,24.6,7.0
09/18/2013,BUY,QIHU,34,85.94,7.0
09/24/2013,BUY,JCI,69,42.98,7.0
09/26/2013,BUY,AYI,21,92.15,7.0
09/26/2013,BUY,FUL,115,43.28,7.0
09/30/2013,SELL,JCI,193,41.5,7.0
10/03/2013,SELL,AVG,202,23.25,7.0
10/08/2013,SELL,QIHU,162,77.24,7.0
10/11/2013,BUY,TTM,154,32.32,7.0
10/16/2013,BUY,TMH,114,43.43,7.0
10/17/2013,BUY,STNG,458,10.9,7.0
10/22/2013,BUY,NOAH,257,19.37,7.0
10/23/2013,SELL,TTM,154,30.46,7.0
10/23/2013,BUY,CP,34,142.99,7.0
10/25/2013,SELL,NOAH,257,17.93,7.0
10/29/2013,BUY,BDBD,284,17.52,7.0
10/30/2013,BUY,AZPN,132,37.81,7.0
10/30/2013,BUY,ACHC,117,42.67,7.0
10/30/2013,BUY,ROG,81,61.09,7.0
10/31/2013,SELL,BDBD,284,16.39,7.0
10/31/2013,BUY,WBA,50,59.24,7.0
10/31/2013,BUY,FUL,62,47.87,7.0
10/31/2013,BUY,KS,96,51.96,7.0
11/05/2013,SELL,TMH,114,43.42,7.0
11/05/2013,BUY,GNRC,103,48.1,7.0
11/07/2013,SELL,KS,96,48.25,7.0
11/07/2013,BUY,GMED,269,18.54,7.0
11/20/2013,SELL,ROG,81,60.14,7.0
11/20/2013,BUY,VOYA,145,34.34,7.0
11/21/2013,BUY,FUL,40,49.6,7.0
12/03/2013,SELL,STNG,458,11.08,7.0
12/04/2013,SELL,WBA,143,57.57,7.0
12/06/2013,BUY,CP,19,154.19,7.0
12/10/2013,BUY,TWTR,96,51.99,7.0
12/13/2013,BUY,ACHC,64,46.1,7.0
12/16/2013,BUY,GNTX,154,32.285,7.0
12/27/2013,BUY,GMED,150,19.84,7.0
12/30/2014,BUY,AZPN,71,41.92,7.0
12/30/2014,BUY,ACHC,41,47.76,7.0
01/02/2014,SELL,GNTX,154,32.21,7.0
01/02/2014,BUY,XRS,236,21.15,7.0
01/06/2014,SELL,CP,53,147.47,7.0
01/06/2014,BUY,HTHT,170,29.37,7.0
01/09/2014,SELL,TWTR,96,57.05,7.0
01/09/2014,BUY,M,89,55.8,7.0
01/13/2014,SELL,HTHT,170,27.98,7.0
01/15/2014,BUY,GNRC,54,55.24,7.0
01/15/2014,BUY,VOYA,82,36.36,7.0
01/16/2014,SELL,GNRC,157,50.89,7.0
01/17/2014,SELL,FUL,217,49.51,7.0
01/21/2014,BUY,NVDQ,253,19.66,7.0
01/22/2014,SELL,VOYA,227,35.25,7.0
01/24/2014,SELL,NVDQ,253,18.84,7.0
01/27/2014,SELL,M,89,54.18,7.0
01/29/2014,SELL,AZPN,203,40.46,7.0
02/04/2014,SELL,ACHC,222,48.6,7.0
02/04/2014,BUY,GMT,88,56.47,7.0
02/07/2014,BUY,LVNTA,39,126.16,7.0
02/10/2014,BUY,SALE,120,41.33,7.0
02/12/2014,BUY,SN,157,31.72,7.0
02/13/2014,BUY,GMED,84,23.64,7.0
02/13/2014,BUY,TWC,34,144.81,7.0
02/14/2014,BUY,XRS,123,24.17,7.0
02/18/2014,SELL,SN,157,29.74,7.0
02/18/2014,BUY,NMBL,99,49.99,7.0
02/19/2014,BUY,FLS,61,80.6,7.0
02/21/2014,BUY,STRZA,160,31.15,7.0
02/26/2014,SELL,TWC,34,137.76,7.0
02/26/2014,BUY,HEI,79,62.7,7.0
02/28/2014,SELL,XRS,359,23.72,7.0
03/03/2014,SELL,NMBL,99,46.15,7.0
03/04/2014,BUY,NUVA,127,39.29,7.0
03/05/2014,BUY,SALE,68,43.78,7.0
03/06/2014,SELL,NUVA,127,37.29,7.0
03/06/2014,BUY,RARE,91,54.38,7.0
03/07/2014,BUY,AGIO,109,45.45,7.0
03/10/2014,SELL,SALE,188,40.6,7.0
03/11/2014,SELL,AGIO,109,42.96,7.0
03/11/2014,BUY,EMES,99,50.1,7.0
03/13/2014,SELL,FLS,61,75.74,7.0
03/14/2014,BUY,MFRM,106,46.99,7.0
03/18/2014,BUY,LVNTA,21,142.31,7.0
03/18/2014,BUY,RARE,49,60.44,7.0
03/21/2014,SELL,RARE,140,55.05,7.0
03/21/2014,BUY,GMT,45,66.0,7.0
03/24/2014,SELL,LVNTA,60,135.73,7.0
03/26/2014,SELL,HEI,79,58.74,7.0
03/27/2014,SELL,AYI,116,128.15,7.0
04/09/2014,SELL,GMED,503,24.35,7.0
04/10/2014,SELL,MFRM,106,45.87,7.0
04/10/2014,SELL,STRZA,160,31.46,7.0
04/11/2014,SELL,GMT,133,65.19,7.0
04/15/2014,BUY,BCPC,80,62.28,7.0
04/17/2014,BUY,WSO,47,104.18,7.0
04/21/2014,BUY,AZN,72,69.1,7.0
04/22/2014,SELL,AZN,72,66.86,7.0
05/01/2014,BUY,KEX,46,107.84,7.0
05/06/2014,SELL,BCPC,80,58.0,7.0
