Date,Action,Symbol,Shares,Price,Cost
01/09/2015,BUY,AYI,65,151.5,7.0
01/15/2015,BUY,HDB,179,55.66,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/28/2015,BUY,KLIC,634,15.75,7.0
01/29/2015,BUY,VAR,106,94.04,7.0
01/30/2015,SELL,KLIC,634,15.17,7.0
02/03/2015,BUY,PRE,82,120.86,7.0
02/05/2015,BUY,EL,127,78.4,7.0
02/05/2015,BUY,BLL,138,72.03,7.0
02/09/2015,BUY,HAS,167,59.66,7.0
02/10/2015,BUY,MOH,177,56.26,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/24/2015,SELL,PRE,82,115.35,7.0
02/24/2015,BUY,CBRL,68,145.81,7.0
03/11/2015,SELL,BLL,138,68.97,7.0
03/16/2015,BUY,HDB,97,61.51,7.0
03/25/2015,SELL,HDB,276,57.31,7.0
03/25/2015,SELL,SEE,220,45.1,7.0
03/26/2015,BUY,SIG,74,135.0,7.0
03/30/2015,BUY,SBUX,62,95.98,7.0
04/08/2015,BUY,AYI,35,168.96,7.0
04/09/2015,SELL,CBRL,68,147.7,7.0
04/09/2015,BUY,APOG,200,49.78,7.0
04/17/2015,SELL,SIG,74,132.41,7.0
04/17/2015,BUY,CE,148,67.18,7.0
04/21/2015,BUY,MOH,94,63.73,7.0
04/27/2015,SELL,MOH,271,62.09,7.0
04/27/2015,BUY,EL,72,83.17,7.0
04/30/2015,SELL,VAR,106,88.85,7.0
04/30/2015,BUY,HAS,84,70.79,7.0
05/06/2015,SELL,SBUX,350,48.93,7.0
05/06/2015,BUY,PLCE,148,67.08,7.0
05/21/2015,BUY,EL,44,89.35,7.0
05/27/2015,BUY,APOG,110,54.01,7.0
05/27/2015,SELL,PLCE,148,65.93,7.0
05/27/2015,BUY,AVGO,70,141.49,7.0
06/02/2015,BUY,AYI,22,178.51,7.0
06/03/2015,BUY,HAS,54,72.78,7.0
06/25/2015,SELL,AVGO,70,139.23,7.0
06/25/2015,BUY,TMH,150,66.41,7.0
06/26/2015,SELL,APOG,310,53.02,7.0
07/08/2015,SELL,CE,148,68.16,7.0
07/08/2015,SELL,EL,243,86.2,7.0
