Date,Action,Symbol,Shares,Price,Cost
01/16/2015,BUY,AYI,66,150.64,7.0
01/22/2015,BUY,HELE,128,77.53,7.0
01/22/2015,BUY,AGU,93,107.2,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,HELE,128,75.22,7.0
02/05/2015,BUY,BLL,138,72.03,7.0
02/06/2015,BUY,VAR,107,92.53,7.0
03/04/2015,SELL,BLL,138,71.3,7.0
03/04/2015,BUY,EIGI,515,19.39,7.0
03/06/2015,SELL,AGU,93,110.42,7.0
03/06/2015,BUY,EPAM,168,59.45,7.0
03/10/2015,SELL,VAR,107,92.53,7.0
03/10/2015,BUY,CBPO,122,81.58,7.0
03/11/2015,SELL,EIGI,515,18.11,7.0
03/11/2015,BUY,LCI,156,63.82,7.0
03/30/2015,BUY,SBUX,62,95.98,7.0
04/08/2015,BUY,AYI,35,168.96,7.0
04/23/2015,BUY,LCI,88,67.4,7.0
04/27/2015,SELL,LCI,244,61.9,7.0
04/27/2015,BUY,SIG,73,136.62,7.0
04/30/2015,SELL,AYI,101,166.95,7.0
04/30/2015,BUY,AVG,417,23.92,7.0
05/01/2015,BUY,EPAM,89,66.79,7.0
05/01/2015,BUY,CBPO,61,98.2,7.0
05/08/2015,BUY,SBUX,80,49.78,7.0
05/13/2015,SELL,SIG,73,135.23,7.0
05/13/2015,BUY,AMBA,136,73.11,7.0
06/15/2015,BUY,EPAM,56,70.98,7.0
06/15/2015,BUY,CBPO,36,109.91,7.0
06/29/2015,SELL,EPAM,313,69.58,7.0
06/29/2015,BUY,BRLI,249,40.02,7.0
07/01/2015,BUY,AVG,218,27.43,7.0
