Date,Action,Symbol,Shares,Price,Cost
01/07/2013,BUY,NSM,257,38.83,7.0
01/16/2013,BUY,PRLB,233,42.71,7.0
01/18/2013,SELL,NSM,257,35.81,7.0
01/30/2013,BUY,HES,147,67.88,7.0
02/06/2013,SELL,PRLB,233,39.99,7.0
02/21/2013,SELL,HES,147,64.4,7.0
02/27/2013,BUY,BLOX,467,21.38,7.0
03/01/2013,BUY,SSTK,307,32.52,7.0
03/08/2013,BUY,MBI,799,12.5,7.0
03/18/2013,SELL,MBI,799,11.79,7.0
03/25/2013,SELL,BLOX,467,20.89,7.0
03/28/2013,BUY,SIG,149,67.0,7.0
04/03/2013,BUY,TSLA,243,41.1,7.0
04/05/2013,BUY,SSTK,147,40.57,7.0
04/17/2013,BUY,SSTK,94,42.43,7.0
05/14/2013,BUY,QIHU,257,38.77,7.0
05/22/2013,BUY,INXN,372,26.84,7.0
05/23/2013,BUY,PCP,47,209.65,7.0
06/05/2013,SELL,SIG,149,66.71,7.0
06/06/2013,SELL,SSTK,548,44.04,7.0
06/20/2013,SELL,INXN,372,25.05,7.0
06/24/2013,SELL,PCP,47,209.69,7.0
06/27/2013,BUY,PTLA,414,24.13,7.0
06/27/2013,BUY,SSTK,186,53.56,7.0
07/01/2013,BUY,ICPT,227,43.89,7.0
07/02/2013,BUY,AYI,122,81.39,7.0
07/17/2013,BUY,TSLA,49,120.25,7.0
07/19/2013,BUY,SVU,1350,7.39,7.0
07/22/2013,BUY,SFUN,329,30.32,7.0
07/25/2013,SELL,SSTK,186,53.7,7.0
07/26/2013,BUY,FB,293,34.01,7.0
07/29/2013,SELL,ICPT,227,44.07,7.0
07/31/2013,BUY,JCI,248,40.21,7.0
08/02/2013,BUY,GIB,294,33.88,7.0
08/06/2013,SELL,PTLA,414,22.91,7.0
08/06/2013,BUY,LOCK,819,12.2,7.0
08/15/2013,SELL,SVU,1350,7.3,7.0
09/03/2013,SELL,GIB,294,31.79,7.0
09/04/2013,BUY,AYI,69,86.61,7.0
09/04/2013,BUY,SALE,283,35.3,7.0
09/10/2013,BUY,TSLA,24,166.37,7.0
09/11/2013,SELL,SALE,283,32.61,7.0
09/11/2013,BUY,AKRX,537,18.58,7.0
09/18/2013,BUY,QIHU,69,85.94,7.0
09/26/2013,BUY,AYI,43,92.15,7.0
10/03/2013,SELL,JCI,248,41.07,7.0
10/03/2013,BUY,GDOT,383,26.04,7.0
10/04/2013,BUY,SFUN,119,50.36,7.0
10/07/2013,BUY,FUL,226,44.04,7.0
10/08/2013,SELL,GDOT,383,24.37,7.0
10/10/2013,BUY,FB,122,49.05,7.0
10/10/2013,BUY,LOCK,430,13.92,7.0
10/11/2013,BUY,TTM,309,32.32,7.0
10/17/2013,BUY,LOCK,277,14.37,7.0
10/17/2013,BUY,STNG,916,10.9,7.0
10/22/2013,BUY,NOAH,515,19.37,7.0
10/23/2013,SELL,TTM,309,30.46,7.0
10/23/2013,SELL,TSLA,316,164.5,7.0
10/24/2013,BUY,QIHU,58,89.0,7.0
10/25/2013,SELL,NOAH,515,17.93,7.0
10/28/2013,SELL,QIHU,384,81.9,7.0
10/28/2013,BUY,NXPI,316,41.02,7.0
10/28/2013,BUY,CP,91,141.8,7.0
10/29/2013,SELL,LOCK,1526,13.68,7.0
10/29/2013,BUY,BDBD,798,17.52,7.0
10/30/2013,BUY,LOCK,884,15.82,7.0
10/31/2013,SELL,BDBD,798,16.39,7.0
10/31/2013,BUY,AZPN,366,38.15,7.0
11/04/2013,BUY,AKRX,403,20.82,7.0
11/11/2013,SELL,FB,415,46.2,7.0
11/11/2013,BUY,GMED,753,18.57,7.0
11/12/2013,BUY,FUL,172,48.75,7.0
11/20/2013,SELL,NXPI,316,40.45,7.0
11/20/2013,BUY,VOYA,407,34.34,7.0
11/26/2013,BUY,SFUN,85,65.62,7.0
11/26/2013,BUY,BLMN,523,26.71,7.0
12/02/2013,SELL,BLMN,523,25.36,7.0
12/04/2013,BUY,FUL,111,50.16,7.0
12/10/2013,SELL,STNG,916,10.92,7.0
12/11/2013,SELL,VOYA,407,33.91,7.0
12/11/2013,BUY,TWTR,267,52.34,7.0
12/13/2013,BUY,AKRX,227,24.58,7.0
12/16/2013,SELL,LOCK,884,15.76,7.0
12/26/2013,BUY,CP,54,152.62,7.0
12/30/2014,BUY,AZPN,200,41.92,7.0
01/03/2014,BUY,YY,241,58.02,7.0
01/07/2014,SELL,CP,145,146.92,7.0
01/08/2014,SELL,AKRX,1167,22.89,7.0
01/09/2014,BUY,M,250,55.8,7.0
01/21/2014,SELL,FUL,509,49.43,7.0
01/21/2014,BUY,NVDQ,711,19.66,7.0
01/24/2014,SELL,NVDQ,711,18.84,7.0
01/27/2014,SELL,YY,241,56.99,7.0
01/29/2014,SELL,M,250,53.39,7.0
02/05/2014,SELL,SFUN,533,72.26,7.0
02/06/2014,SELL,TWTR,267,50.03,7.0
02/06/2014,BUY,GMT,281,56.74,7.0
02/07/2014,BUY,LVNTA,126,126.16,7.0
02/10/2014,BUY,SALE,386,41.33,7.0
02/12/2014,BUY,SN,504,31.72,7.0
02/13/2014,BUY,GMED,405,23.64,7.0
02/18/2014,SELL,SN,504,29.74,7.0
02/19/2014,BUY,FLS,198,80.6,7.0
02/21/2014,BUY,STRZA,513,31.15,7.0
03/10/2014,SELL,SALE,386,40.6,7.0
03/10/2014,BUY,ZU,281,56.88,7.0
03/12/2014,SELL,FLS,198,78.18,7.0
03/12/2014,BUY,EMES,298,50.24,7.0
03/18/2014,BUY,AZPN,127,47.1,7.0
03/18/2014,BUY,LVNTA,63,142.31,7.0
03/21/2014,BUY,GMT,136,66.0,7.0
03/24/2014,SELL,ZU,281,54.91,7.0
03/24/2014,SELL,AZPN,693,43.79,7.0
03/24/2014,BUY,MFRM,338,47.23,7.0
03/25/2014,BUY,GMED,247,25.86,7.0
03/26/2014,SELL,LVNTA,189,130.34,7.0
03/26/2014,SELL,STRZA,513,31.6,7.0
03/26/2014,BUY,FF,803,19.9,7.0
03/27/2014,SELL,AYI,234,128.15,7.0
04/03/2014,BUY,BCPC,277,61.27,7.0
04/07/2014,SELL,FF,803,18.77,7.0
04/07/2014,SELL,BCPC,277,59.2,7.0
04/09/2014,SELL,GMED,1405,24.35,7.0
04/10/2014,SELL,MFRM,338,45.87,7.0
04/10/2014,BUY,ECOL,412,41.24,7.0
04/21/2014,BUY,AZN,245,69.1,7.0
04/22/2014,SELL,AZN,245,66.86,7.0
04/25/2014,BUY,ZBH,169,100.54,7.0
04/28/2014,SELL,GMT,417,64.87,7.0
04/30/2014,SELL,ZBH,169,96.8,7.0
05/28/2014,BUY,CAL,579,29.3,7.0
06/02/2014,SELL,CAL,579,27.83,7.0
06/05/2014,BUY,ECOL,209,48.57,7.0
06/11/2014,BUY,LNG,255,66.58,7.0
06/13/2014,BUY,EMES,99,101.95,7.0
06/17/2014,BUY,JWA,282,60.1,7.0
06/19/2014,BUY,GLOG,568,29.88,7.0
06/19/2014,BUY,APD,131,129.7,7.0
06/20/2014,BUY,KS,511,33.21,7.0
06/26/2014,BUY,MEI,450,37.68,7.0
07/01/2014,BUY,ANET,223,76.0,7.0
07/07/2014,SELL,GLOG,568,28.23,7.0
07/07/2014,SELL,KS,511,30.55,7.0
07/07/2014,SELL,ANET,223,72.17,7.0
07/08/2014,SELL,MEI,450,35.76,7.0
07/17/2014,SELL,ECOL,621,47.9,7.0
07/18/2014,BUY,EMES,62,109.16,7.0
07/23/2014,BUY,LEJU,1290,13.15,7.0
07/24/2014,BUY,JMEI,569,29.86,7.0
07/29/2014,BUY,LNG,136,74.46,7.0
08/01/2014,BUY,THC,324,52.34,7.0
08/05/2014,SELL,LEJU,1290,11.94,7.0
08/07/2014,SELL,JWA,282,58.94,7.0
08/07/2014,SELL,LNG,391,70.47,7.0
