Date,Action,Symbol,Shares,Price,Cost
01/16/2015,BUY,AYI,66,150.64,7.0
01/22/2015,BUY,HELE,128,77.53,7.0
01/22/2015,BUY,AGU,93,107.2,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,HELE,128,75.22,7.0
02/05/2015,BUY,BLL,138,72.03,7.0
02/09/2015,BUY,HAS,167,59.66,7.0
03/04/2015,SELL,BLL,138,71.3,7.0
03/04/2015,BUY,BMY,152,65.67,7.0
03/19/2015,SELL,AGU,93,106.95,7.0
03/26/2015,BUY,SIG,74,135.0,7.0
03/27/2015,SELL,BMY,152,65.26,7.0
03/27/2015,BUY,EW,69,143.68,7.0
03/30/2015,BUY,SBUX,62,95.98,7.0
04/07/2015,SELL,EW,69,138.75,7.0
04/08/2015,BUY,AYI,35,168.96,7.0
04/10/2015,BUY,GE,350,28.51,7.0
04/21/2015,SELL,GE,350,26.62,7.0
04/29/2015,BUY,XPO,204,48.83,7.0
04/30/2015,BUY,HAS,84,70.79,7.0
04/30/2015,SELL,SIG,74,134.13,7.0
04/30/2015,BUY,AVG,417,23.92,7.0
05/08/2015,BUY,SBUX,80,49.78,7.0
06/02/2015,BUY,AYI,22,178.51,7.0
06/03/2015,BUY,HAS,54,72.78,7.0
06/09/2015,SELL,XPO,204,48.13,7.0
06/09/2015,BUY,CMN,192,52.0,7.0
07/01/2015,BUY,AVG,218,27.43,7.0
