Date,Action,Symbol,Shares,Price,Cost
01/22/2015,BUY,AGU,93,107.2,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/28/2015,BUY,KLIC,634,15.75,7.0
01/29/2015,SELL,AGU,93,105.61,7.0
01/29/2015,BUY,VAR,106,94.04,7.0
01/30/2015,SELL,KLIC,634,15.17,7.0
02/05/2015,BUY,BLL,138,72.03,7.0
02/09/2015,BUY,HAS,167,59.66,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/11/2015,SELL,VAR,106,92.32,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
03/02/2015,BUY,SBUX,63,94.225,7.0
03/04/2015,SELL,BLL,138,71.3,7.0
03/04/2015,BUY,BMY,152,65.67,7.0
03/04/2015,SELL,SEE,220,46.58,7.0
03/04/2015,BUY,OLN,330,30.25,7.0
03/10/2015,SELL,OLN,330,29.0,7.0
03/25/2015,BUY,EW,70,142.25,7.0
03/26/2015,SELL,BMY,152,65.0,7.0
03/26/2015,BUY,SFS,562,17.77,7.0
03/26/2015,SELL,HAS,167,60.555,7.0
03/26/2015,BUY,SIG,74,135.0,7.0
04/01/2015,BUY,SCI,228,26.25,7.0
04/10/2015,SELL,EW,70,141.68,7.0
04/10/2015,BUY,GE,350,28.51,7.0
04/15/2015,BUY,SCI,147,26.98,7.0
04/21/2015,SELL,GE,350,26.62,7.0
04/21/2015,BUY,SBUX,82,48.37,7.0
04/27/2015,SELL,SFS,562,17.71,7.0
04/28/2015,BUY,HQY,359,27.76,7.0
04/29/2015,BUY,XPO,204,48.83,7.0
04/30/2015,SELL,HQY,359,26.21,7.0
04/30/2015,BUY,AVG,417,23.92,7.0
05/01/2015,SELL,SIG,74,136.79,7.0
05/01/2015,BUY,BFAM,184,54.05,7.0
05/08/2015,SELL,XPO,204,48.56,7.0
05/08/2015,BUY,IMPV,185,53.98,7.0
05/12/2015,SELL,BFAM,184,52.84,7.0
05/12/2015,BUY,IPAR,296,33.65,7.0
05/15/2015,SELL,IPAR,296,31.93,7.0
05/20/2015,BUY,TTPH,220,45.33,7.0
05/20/2015,SELL,AVG,417,24.53,7.0
05/20/2015,BUY,TWC,60,166.55,7.0
05/22/2015,SELL,TTPH,220,42.94,7.0
05/26/2015,SELL,TWC,60,183.6,7.0
05/27/2015,BUY,AMED,315,31.67,7.0
06/05/2015,BUY,JUNO,146,68.36,7.0
06/09/2015,SELL,JUNO,146,62.14,7.0
06/09/2015,BUY,CMN,192,52.0,7.0
06/17/2015,SELL,CMN,192,51.94,7.0
06/17/2015,BUY,RDUS,193,51.73,7.0
06/25/2015,BUY,AMED,149,39.96,7.0
