Date,Action,Symbol,Shares,Price,Cost
01/02/2013,BUY,CDNS,1428,14.0,8.0
01/02/2013,BUY,FEIC,346,57.77,8.0
01/02/2013,BUY,MEOH,598,33.41,8.0
01/04/2013,BUY,AB,1070,18.68,8.0
01/07/2013,BUY,NSM,514,38.83,8.0
01/17/2013,SELL,NSM,514,36.77,8.0
01/17/2013,BUY,CLW,451,44.24,8.0
03/18/2013,SELL,CDNS,1428,13.6,8.0
03/20/2013,BUY,LEN,460,43.4,8.0
04/01/2013,SELL,LEN,460,40.61,8.0
04/03/2013,SELL,AB,1070,21.05,8.0
04/05/2013,BUY,TM,187,106.5,8.0
04/15/2013,SELL,CLW,451,47.72,8.0
04/18/2013,SELL,MEOH,598,37.52,8.0
04/19/2013,SELL,FEIC,346,62.41,8.0
04/23/2013,BUY,ARMH,431,46.32,8.0
04/25/2013,BUY,RYL,444,44.94,8.0
04/30/2013,BUY,MSG,331,60.27,8.0
05/01/2013,BUY,DORM,507,39.43,8.0
05/31/2013,SELL,ARMH,431,43.88,8.0
06/03/2013,BUY,CSII,920,21.72,8.0
06/05/2013,SELL,RYL,444,42.39,8.0
06/18/2013,BUY,PRLB,319,62.53,8.0
06/20/2013,SELL,CSII,920,20.8,8.0
06/20/2013,SELL,MSG,331,58.95,8.0
06/20/2013,SELL,PRLB,319,61.01,8.0
06/20/2013,SELL,TM,187,117.06,8.0
06/24/2013,SELL,DORM,507,44.42,8.0
07/02/2013,BUY,CVC,1050,19.02,8.0
07/02/2013,BUY,AYI,245,81.39,8.0
07/09/2013,BUY,AWAY,597,33.47,8.0
07/10/2013,SELL,AWAY,597,31.62,8.0
07/10/2013,BUY,YNDX,677,29.49,8.0
07/10/2013,BUY,LRCX,403,49.52,8.0
07/11/2013,BUY,PKG,386,51.69,8.0
08/15/2013,SELL,LRCX,403,47.2,8.0
08/16/2013,SELL,CVC,1050,18.43,8.0
09/04/2013,BUY,SALE,566,35.3,8.0
09/04/2013,BUY,RPRX,876,22.81,8.0
09/11/2013,SELL,SALE,566,32.61,8.0
09/12/2013,BUY,WBA,375,53.29,8.0
09/16/2013,SELL,RPRX,876,21.26,8.0
09/16/2013,BUY,AVG,812,24.6,8.0
10/03/2013,SELL,AVG,812,23.25,8.0
10/04/2013,BUY,ICE,103,193.65,8.0
11/07/2013,SELL,YNDX,677,36.09,8.0
11/08/2013,BUY,SF,462,43.2,8.0
12/05/2013,SELL,WBA,375,56.11,8.0
12/05/2013,BUY,TNDM,806,24.8,8.0
12/11/2013,SELL,TNDM,806,23.5,8.0
12/16/2013,BUY,GNTX,619,32.285,8.0
01/15/2014,SELL,ICE,103,210.88,8.0
01/15/2014,BUY,PTCT,811,24.64,8.0
