Date,Action,Symbol,Shares,Price,Cost
01/07/2013,BUY,NSM,257,38.83,7.0
01/16/2013,BUY,PRLB,233,42.71,7.0
01/18/2013,SELL,NSM,257,35.81,7.0
01/30/2013,BUY,HES,147,67.88,7.0
02/06/2013,SELL,PRLB,233,39.99,7.0
02/21/2013,SELL,HES,147,64.4,7.0
02/27/2013,BUY,BLOX,467,21.38,7.0
03/01/2013,BUY,SSTK,307,32.52,7.0
03/25/2013,SELL,BLOX,467,20.89,7.0
03/28/2013,BUY,SIG,149,67.0,7.0
04/03/2013,BUY,TSLA,243,41.1,7.0
04/05/2013,BUY,SSTK,147,40.57,7.0
04/17/2013,BUY,SSTK,94,42.43,7.0
05/23/2013,BUY,PCP,47,209.65,7.0
06/05/2013,SELL,SIG,149,66.71,7.0
06/06/2013,SELL,SSTK,548,44.04,7.0
06/24/2013,SELL,PCP,47,209.69,7.0
06/27/2013,BUY,PTLA,414,24.13,7.0
06/27/2013,BUY,SSTK,186,53.56,7.0
07/01/2013,BUY,ICPT,227,43.89,7.0
07/17/2013,BUY,TSLA,49,120.25,7.0
07/19/2013,BUY,SVU,1350,7.39,7.0
07/25/2013,SELL,SSTK,186,53.7,7.0
07/26/2013,BUY,FB,293,34.01,7.0
07/29/2013,SELL,ICPT,227,44.07,7.0
07/31/2013,BUY,JCI,248,40.21,7.0
08/05/2013,BUY,LOCK,832,12.0,7.0
08/06/2013,SELL,PTLA,414,22.91,7.0
08/07/2013,BUY,ATVI,570,17.51,7.0
08/15/2013,SELL,SVU,1350,7.3,7.0
08/19/2013,SELL,ATVI,570,16.79,7.0
09/04/2013,BUY,SALE,283,35.3,7.0
09/10/2013,BUY,TSLA,24,166.37,7.0
09/11/2013,SELL,SALE,283,32.61,7.0
09/11/2013,BUY,AKRX,537,18.58,7.0
09/17/2013,BUY,KS,217,45.92,7.0
09/19/2013,SELL,KS,217,43.14,7.0
09/25/2013,BUY,FIVE,223,44.66,7.0
10/08/2013,SELL,JCI,248,39.89,7.0
10/10/2013,BUY,FB,122,49.05,7.0
10/10/2013,BUY,LOCK,430,13.92,7.0
10/17/2013,BUY,LOCK,277,14.37,7.0
10/23/2013,SELL,TSLA,316,164.5,7.0
10/25/2013,BUY,NXPI,325,39.9,7.0
10/28/2013,BUY,AVY,271,47.84,7.0
10/30/2013,BUY,GLW,764,17.0,7.0
11/01/2013,BUY,HBI,192,67.61,7.0
11/04/2013,BUY,AKRX,374,20.82,7.0
11/05/2013,BUY,GNRC,270,48.1,7.0
11/07/2013,SELL,AVY,271,46.17,7.0
11/07/2013,SELL,GLW,764,16.31,7.0
11/07/2013,BUY,VOYA,394,32.95,7.0
11/08/2013,BUY,FIVE,153,50.85,7.0
11/11/2013,SELL,FB,415,46.2,7.0
11/21/2013,BUY,FIVE,98,52.5,7.0
12/05/2013,SELL,FIVE,474,47.75,7.0
12/10/2013,BUY,TWTR,249,51.99,7.0
12/12/2013,SELL,HBI,192,67.2,7.0
12/13/2013,BUY,AKRX,211,24.58,7.0
12/16/2013,BUY,NXPI,181,42.84,7.0
12/17/2013,SELL,LOCK,1539,15.14,7.0
01/08/2014,SELL,AKRX,1122,22.89,7.0
01/09/2014,BUY,M,232,55.8,7.0
01/14/2014,BUY,NXPI,117,44.12,7.0
01/15/2014,BUY,GNRC,141,55.24,7.0
01/15/2014,BUY,VOYA,214,36.36,7.0
01/16/2014,SELL,GNRC,411,50.89,7.0
01/23/2014,SELL,VOYA,608,34.45,7.0
01/23/2014,BUY,HUBB,118,118.04,7.0
01/27/2014,SELL,HUBB,118,113.28,7.0
01/29/2014,SELL,M,232,53.39,7.0
02/06/2014,SELL,TWTR,249,50.03,7.0
02/10/2014,BUY,SALE,314,41.33,7.0
02/24/2014,BUY,LEAF,458,28.36,7.0
03/07/2014,BUY,RARE,229,56.625,7.0
03/07/2014,BUY,AGIO,285,45.45,7.0
03/10/2014,SELL,SALE,314,40.6,7.0
03/10/2014,BUY,ZU,228,56.88,7.0
03/10/2014,BUY,CUDA,340,38.14,7.0
03/11/2014,SELL,AGIO,285,42.96,7.0
03/11/2014,SELL,CUDA,340,36.23,7.0
03/11/2014,BUY,EMES,259,50.1,7.0
03/12/2014,SELL,LEAF,458,26.15,7.0
03/21/2014,SELL,RARE,229,55.05,7.0
03/24/2014,SELL,ZU,228,54.91,7.0
03/26/2014,BUY,FF,652,19.9,7.0
04/03/2014,BUY,BCPC,212,61.27,7.0
04/07/2014,SELL,FF,652,18.77,7.0
04/07/2014,SELL,BCPC,212,59.2,7.0
04/21/2014,BUY,AZN,188,69.1,7.0
04/22/2014,SELL,AZN,188,66.86,7.0
04/25/2014,BUY,ZBH,129,100.54,7.0
04/30/2014,SELL,ZBH,129,96.8,7.0
06/13/2014,BUY,EMES,76,101.95,7.0
06/19/2014,BUY,APD,100,129.7,7.0
06/26/2014,BUY,MEI,344,37.68,7.0
07/01/2014,BUY,ANET,170,76.0,7.0
07/07/2014,SELL,ANET,170,72.17,7.0
07/08/2014,SELL,MEI,344,35.76,7.0
07/18/2014,BUY,EMES,47,109.16,7.0
07/23/2014,BUY,LEJU,988,13.15,7.0
07/24/2014,BUY,JMEI,435,29.86,7.0
07/28/2014,SELL,NXPI,623,62.34,7.0
08/05/2014,SELL,LEJU,988,11.94,7.0
08/07/2014,BUY,LEAF,471,29.65,7.0
08/12/2014,BUY,KMI,361,38.73,7.0
08/25/2014,BUY,JMEI,255,32.86,7.0
08/27/2014,BUY,ATHM,277,50.44,7.0
08/28/2014,SELL,ATHM,277,46.86,7.0
08/28/2014,BUY,SIG,120,116.37,7.0
08/29/2014,SELL,JMEI,690,30.57,7.0
08/29/2014,BUY,GPRO,270,51.8,7.0
09/04/2014,BUY,MEI,352,39.72,7.0
09/09/2014,SELL,KMI,361,38.3,7.0
09/10/2014,BUY,HQY,647,21.62,7.0
09/11/2014,SELL,APD,100,128.43,7.0
09/16/2014,SELL,HQY,647,20.1,7.0
09/16/2014,BUY,ALR,347,40.25,7.0
09/17/2014,BUY,LEAF,249,33.66,7.0
09/22/2014,BUY,CLX,143,97.23,7.0
09/23/2014,SELL,EMES,382,110.98,7.0
09/25/2014,SELL,MEI,352,38.04,7.0
09/30/2014,SELL,ALR,347,38.78,7.0
10/01/2014,SELL,SIG,120,112.14,7.0
10/06/2014,BUY,KITE,456,32.83,7.0
10/07/2014,SELL,KITE,456,31.8,7.0
10/13/2014,BUY,BDX,119,125.83,7.0
10/16/2014,SELL,BDX,119,120.78,7.0
10/27/2014,SELL,GPRO,270,64.91,7.0
10/30/2014,BUY,BMY,254,58.98,7.0
10/30/2014,BUY,CACI,182,82.05,7.0
11/03/2014,BUY,ZEN,567,26.4,7.0
11/05/2014,SELL,ZEN,567,24.96,7.0
11/07/2014,BUY,AMED,604,24.79,7.0
11/11/2014,BUY,LEAF,160,37.34,7.0
11/12/2014,BUY,MSG,200,74.74,7.0
11/19/2014,BUY,ENV,285,52.58,7.0
11/21/2014,BUY,SWIR,409,36.62,7.0
12/01/2014,SELL,ENV,285,49.55,7.0
12/05/2014,BUY,ENB,293,51.15,7.0
12/10/2014,SELL,ENB,293,47.99,7.0
12/10/2014,SELL,MSG,200,72.21,7.0
12/15/2014,SELL,LEAF,880,35.07,7.0
12/16/2014,SELL,BMY,254,57.69,7.0
12/16/2014,SELL,CACI,182,83.36,7.0
12/18/2014,BUY,FGEN,534,28.05,7.0
12/22/2014,SELL,FGEN,534,26.32,7.0
12/22/2014,BUY,NVRO,380,39.37,7.0
12/24/2014,BUY,VA,365,41.0,7.0
01/06/2015,SELL,NVRO,380,37.13,7.0
01/07/2015,SELL,VA,365,39.75,7.0
01/09/2015,BUY,AYI,98,151.5,7.0
01/16/2015,SELL,SWIR,409,40.07,7.0
01/16/2015,BUY,AMED,318,28.26,7.0
