Date,Action,Symbol,Shares,Price,Cost
01/15/2015,BUY,AYI,67,148.87,7.0
01/22/2015,BUY,HELE,128,77.53,7.0
01/22/2015,BUY,AGU,93,107.2,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/28/2015,BUY,KLIC,634,15.75,7.0
01/29/2015,BUY,VAR,106,94.04,7.0
01/30/2015,SELL,HELE,128,75.22,7.0
01/30/2015,SELL,KLIC,634,15.17,7.0
01/30/2015,BUY,BA,68,145.37,7.0
02/05/2015,BUY,BLL,138,72.03,7.0
02/09/2015,BUY,HAS,167,59.66,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
03/04/2015,SELL,BLL,138,71.3,7.0
03/04/2015,BUY,LCI,160,62.28,7.0
03/05/2015,BUY,AYI,37,159.95,7.0
03/06/2015,SELL,SEE,220,45.27,7.0
03/06/2015,BUY,AMBA,155,64.22,7.0
03/06/2015,SELL,AGU,93,110.42,7.0
03/06/2015,BUY,BMY,153,65.12,7.0
03/10/2015,SELL,VAR,106,92.53,7.0
03/10/2015,BUY,OLN,344,29.0,7.0
03/19/2015,SELL,OLN,344,28.05,7.0
03/19/2015,BUY,NVRO,199,50.01,7.0
03/25/2015,SELL,NVRO,199,48.04,7.0
03/25/2015,SELL,BMY,153,64.7,7.0
03/25/2015,BUY,JUNO,186,53.48,7.0
03/25/2015,SELL,HAS,167,60.68,7.0
03/25/2015,BUY,EW,70,142.25,7.0
03/30/2015,BUY,SBUX,62,95.98,7.0
03/31/2015,SELL,BA,68,150.08,7.0
03/31/2015,BUY,SFS,567,17.6,7.0
04/01/2015,BUY,SCI,228,26.25,7.0
04/06/2015,SELL,EW,70,139.85,7.0
04/06/2015,BUY,SIG,71,139.76,7.0
04/08/2015,BUY,AYI,23,168.96,7.0
04/17/2015,SELL,SIG,71,132.41,7.0
04/17/2015,SELL,SBUX,350,47.62,7.0
04/17/2015,BUY,TSE,454,22.0,7.0
04/20/2015,BUY,LCI,89,66.75,7.0
04/20/2015,BUY,AMBA,80,74.56,7.0
04/27/2015,SELL,LCI,249,61.9,7.0
04/27/2015,SELL,JUNO,186,50.81,7.0
04/27/2015,SELL,SFS,567,17.71,7.0
04/29/2015,BUY,XPO,204,48.83,7.0
04/30/2015,BUY,AVG,417,23.92,7.0
05/01/2015,BUY,SCI,142,27.98,7.0
05/01/2015,BUY,BFAM,184,54.05,7.0
05/05/2015,SELL,TSE,454,21.83,7.0
05/05/2015,BUY,CLGX,258,38.7,7.0
05/29/2015,SELL,CLGX,258,38.98,7.0
05/29/2015,BUY,TTPH,233,42.88,7.0
06/01/2015,SELL,XPO,204,48.71,7.0
06/01/2015,BUY,AMED,311,32.05,7.0
06/12/2015,SELL,TTPH,233,41.56,7.0
06/12/2015,BUY,CMN,192,51.93,7.0
06/25/2015,BUY,AMED,149,39.96,7.0
07/01/2015,BUY,AVG,218,27.43,7.0
