Date,Action,Symbol,Shares,Price,Cost
01/23/2015,BUY,SBUX,113,88.22,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
02/13/2015,BUY,EIGI,512,19.49,7.0
03/09/2015,BUY,SBUX,64,93.04,7.0
03/11/2015,SELL,EIGI,512,18.11,7.0
04/01/2015,BUY,SCI,228,26.25,7.0
04/15/2015,SELL,SEE,220,44.46,7.0
04/28/2015,BUY,HQY,359,27.76,7.0
04/29/2015,BUY,XPO,204,48.83,7.0
04/30/2015,SELL,HQY,359,26.21,7.0
05/20/2015,BUY,TWC,60,166.55,7.0
05/26/2015,SELL,TWC,60,183.6,7.0
05/27/2015,BUY,AMED,315,31.67,7.0
06/05/2015,BUY,JUNO,146,68.36,7.0
06/09/2015,SELL,JUNO,146,62.14,7.0
06/09/2015,BUY,SBUX,77,51.54,7.0
06/09/2015,BUY,SCI,137,29.11,7.0
06/09/2015,BUY,CMN,192,52.0,7.0
06/12/2015,SELL,XPO,204,47.46,7.0
06/17/2015,BUY,RDUS,193,51.73,7.0
