Date,Action,Symbol,Shares,Price,Cost
01/09/2015,BUY,SRC,815,12.26,7.0
01/22/2015,BUY,TSM,421,23.71,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,TSM,421,22.71,7.0
02/09/2015,BUY,SXT,169,58.91,7.0
02/10/2015,SELL,SXT,169,58.82,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/10/2015,BUY,SXT,169,58.82,7.0
02/11/2015,SELL,SXT,169,59.35,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
02/12/2015,BUY,BOOT,424,23.56,7.0
02/17/2015,SELL,BOOT,424,22.24,7.0
02/17/2015,BUY,PAHC,302,33.0,7.0
02/18/2015,BUY,SRC,474,12.63,7.0
02/24/2015,SELL,SRC,1289,12.25,7.0
02/24/2015,BUY,VEEV,333,29.93,7.0
03/04/2015,SELL,VEEV,333,25.72,7.0
03/04/2015,BUY,SBUX,64,93.06,7.0
03/04/2015,BUY,UEPS,683,14.62,7.0
03/10/2015,SELL,UEPS,683,14.08,7.0
03/17/2015,BUY,PAHC,170,35.2,7.0
03/20/2015,BUY,HNI,185,53.85,7.0
03/31/2015,BUY,SCI,230,26.05,7.0
04/15/2015,SELL,SEE,220,44.46,7.0
04/17/2015,SELL,PAHC,472,33.39,7.0
04/17/2015,BUY,SCI,148,26.87,7.0
04/17/2015,BUY,HNI,107,55.55,7.0
04/17/2015,BUY,NGHC,518,19.28,7.0
04/17/2015,BUY,JPM,159,62.84,7.0
04/20/2015,BUY,SBUX,83,47.97,7.0
04/23/2015,SELL,HNI,292,51.27,7.0
04/23/2015,BUY,JCI,188,52.9,7.0
05/05/2015,SELL,JCI,188,50.18,7.0
05/05/2015,BUY,SC,411,24.27,7.0
05/21/2015,BUY,NGHC,301,19.89,7.0
05/26/2015,SELL,NGHC,819,19.17,7.0
05/26/2015,BUY,JPM,91,65.73,7.0
05/26/2015,BUY,UEPS,700,14.26,7.0
06/25/2015,BUY,SC,232,25.8,7.0
