Date,Action,Symbol,Shares,Price,Cost
01/04/2013,BUY,IEP,196,50.74,7.0
01/07/2013,BUY,NSM,257,38.83,7.0
01/07/2013,BUY,RNF,234,42.57,7.0
01/11/2013,BUY,HTHT,557,17.92,7.0
01/17/2013,BUY,CLW,225,44.24,7.0
01/18/2013,SELL,NSM,257,35.81,7.0
01/30/2013,BUY,HES,147,67.88,7.0
02/05/2013,BUY,BRO,340,29.38,7.0
02/06/2013,BUY,RNF,125,47.8,7.0
02/11/2013,SELL,RNF,359,43.65,7.0
02/20/2013,SELL,HTHT,557,17.84,7.0
02/21/2013,SELL,HES,147,64.4,7.0
02/27/2013,BUY,BLOX,467,21.38,7.0
03/01/2013,BUY,SSTK,307,32.52,7.0
03/04/2013,BUY,IX,164,60.71,7.0
03/05/2013,BUY,EVER,619,16.14,7.0
03/07/2013,BUY,IEP,98,61.03,7.0
03/08/2013,BUY,MBI,799,12.5,7.0
03/13/2013,SELL,IEP,294,60.58,7.0
03/18/2013,SELL,EVER,619,15.09,7.0
03/18/2013,SELL,MBI,799,11.79,7.0
03/25/2013,SELL,BLOX,467,20.89,7.0
03/28/2013,BUY,SIG,149,67.0,7.0
04/03/2013,BUY,TSLA,243,41.1,7.0
04/05/2013,BUY,SSTK,147,40.57,7.0
04/10/2013,BUY,CLW,117,51.09,7.0
04/15/2013,SELL,CLW,342,47.72,7.0
04/17/2013,BUY,SSTK,94,42.43,7.0
04/30/2013,BUY,BRO,193,30.99,7.0
05/03/2013,BUY,IX,79,75.71,7.0
05/14/2013,BUY,QIHU,257,38.77,7.0
05/15/2013,BUY,SMTC,278,35.92,7.0
05/24/2013,SELL,IX,243,69.32,7.0
05/24/2013,BUY,INXN,373,26.75,7.0
05/24/2013,BUY,PCP,47,210.73,7.0
06/05/2013,SELL,SIG,149,66.71,7.0
06/06/2013,SELL,SSTK,548,44.04,7.0
06/07/2013,BUY,BRO,123,32.28,7.0
06/18/2013,BUY,PRLB,159,62.53,7.0
06/20/2013,SELL,INXN,373,25.05,7.0
06/21/2013,SELL,PRLB,159,60.0,7.0
06/24/2013,SELL,BRO,656,30.91,7.0
06/24/2013,SELL,SMTC,278,34.51,7.0
06/24/2013,SELL,PCP,47,209.69,7.0
07/02/2013,BUY,AYI,122,81.39,7.0
07/17/2013,BUY,TSLA,49,120.25,7.0
07/19/2013,BUY,SVU,1350,7.39,7.0
07/22/2013,BUY,SFUN,329,30.32,7.0
07/26/2013,BUY,FB,293,34.01,7.0
07/31/2013,BUY,JCI,248,40.21,7.0
08/02/2013,BUY,GIB,294,33.88,7.0
08/05/2013,BUY,LOCK,832,12.0,7.0
08/15/2013,SELL,SVU,1350,7.3,7.0
08/15/2013,BUY,CSC,194,51.3,7.0
09/03/2013,SELL,GIB,294,31.79,7.0
09/04/2013,BUY,AYI,69,86.61,7.0
09/04/2013,BUY,SALE,283,35.3,7.0
09/10/2013,BUY,TSLA,24,166.37,7.0
09/11/2013,SELL,SALE,283,32.61,7.0
09/18/2013,BUY,QIHU,69,85.94,7.0
09/26/2013,BUY,AYI,43,92.15,7.0
10/04/2013,BUY,SFUN,119,50.36,7.0
10/04/2013,BUY,XOOM,306,32.57,7.0
10/07/2013,BUY,FUL,226,44.04,7.0
10/08/2013,SELL,XOOM,306,30.66,7.0
10/08/2013,SELL,CSC,194,49.97,7.0
10/08/2013,SELL,JCI,248,39.89,7.0
10/10/2013,BUY,FB,122,49.05,7.0
10/10/2013,BUY,LOCK,430,13.92,7.0
10/11/2013,BUY,TTM,309,32.32,7.0
10/16/2013,BUY,TMH,230,43.43,7.0
10/17/2013,BUY,LOCK,277,14.37,7.0
10/17/2013,BUY,STNG,916,10.9,7.0
10/22/2013,BUY,NOAH,515,19.37,7.0
10/23/2013,SELL,TTM,309,30.46,7.0
10/23/2013,SELL,TSLA,316,164.5,7.0
10/24/2013,BUY,QIHU,58,89.0,7.0
10/25/2013,SELL,NOAH,515,17.93,7.0
10/28/2013,SELL,QIHU,384,81.9,7.0
10/28/2013,BUY,NXPI,341,41.02,7.0
10/28/2013,BUY,CP,98,141.8,7.0
10/29/2013,SELL,LOCK,1539,13.68,7.0
10/29/2013,BUY,BDBD,798,17.52,7.0
10/30/2013,BUY,LOCK,884,15.82,7.0
10/31/2013,SELL,BDBD,798,16.39,7.0
10/31/2013,BUY,AZPN,366,38.15,7.0
11/11/2013,SELL,FB,415,46.2,7.0
11/11/2013,BUY,GMED,753,18.57,7.0
11/12/2013,BUY,FUL,172,48.75,7.0
11/25/2013,SELL,NXPI,341,40.45,7.0
11/25/2013,BUY,BLMN,519,26.91,7.0
11/26/2013,BUY,SFUN,85,65.62,7.0
12/02/2013,SELL,BLMN,519,25.36,7.0
12/04/2013,BUY,FUL,111,50.16,7.0
12/10/2013,SELL,STNG,916,10.92,7.0
12/11/2013,SELL,LOCK,884,16.02,7.0
12/11/2013,BUY,TWTR,267,52.34,7.0
12/19/2013,SELL,TMH,230,44.47,7.0
12/19/2013,BUY,GNTX,425,32.9,7.0
12/26/2013,BUY,CP,54,152.62,7.0
12/30/2013,BUY,AZPN,200,41.92,7.0
01/06/2014,SELL,CP,152,147.47,7.0
01/06/2014,BUY,PFPT,399,35.02,7.0
01/16/2014,SELL,FUL,509,50.82,7.0
01/16/2014,BUY,M,249,56.03,7.0
01/24/2014,SELL,AZPN,566,41.42,7.0
01/24/2014,BUY,NVDQ,742,18.84,7.0
01/27/2014,SELL,M,249,54.18,7.0
01/29/2014,SELL,PFPT,399,34.91,7.0
