Date,Action,Symbol,Shares,Price,Cost
01/04/2013,BUY,IEP,164,50.74,7.0
01/07/2013,BUY,NSM,214,38.83,7.0
01/07/2013,BUY,RNF,195,42.57,7.0
01/11/2013,BUY,HTHT,465,17.92,7.0
01/17/2013,BUY,CLW,188,44.24,7.0
01/18/2013,SELL,NSM,214,35.81,7.0
02/06/2013,BUY,RNF,104,47.8,7.0
02/11/2013,SELL,RNF,299,43.65,7.0
02/20/2013,SELL,HTHT,465,17.84,7.0
03/04/2013,BUY,IX,137,60.71,7.0
03/07/2013,BUY,IEP,81,61.03,7.0
03/13/2013,SELL,IEP,245,60.58,7.0
03/28/2013,BUY,SIG,124,67.0,7.0
04/05/2013,BUY,TSLA,201,41.37,7.0
04/10/2013,BUY,CLW,97,51.09,7.0
04/15/2013,SELL,CLW,285,47.72,7.0
05/03/2013,BUY,IX,66,75.71,7.0
05/14/2013,BUY,QIHU,215,38.77,7.0
05/15/2013,BUY,SMTC,232,35.92,7.0
05/22/2013,BUY,INXN,310,26.84,7.0
05/24/2013,SELL,IX,203,69.32,7.0
05/24/2013,BUY,PCP,39,210.73,7.0
06/05/2013,SELL,SIG,124,66.71,7.0
06/18/2013,BUY,PRLB,133,62.53,7.0
06/20/2013,SELL,INXN,310,25.05,7.0
06/20/2013,SELL,PCP,39,213.48,7.0
06/20/2013,BUY,CTB,269,30.97,7.0
06/21/2013,SELL,PRLB,133,60.0,7.0
06/24/2013,SELL,SMTC,232,34.51,7.0
07/02/2013,BUY,AYI,102,81.39,7.0
07/17/2013,BUY,TSLA,41,120.25,7.0
07/31/2013,BUY,JCI,207,40.21,7.0
08/07/2013,BUY,GNC,158,52.51,7.0
08/19/2013,SELL,CTB,269,32.25,7.0
08/20/2013,BUY,CSC,160,52.1,7.0
08/21/2013,SELL,GNC,158,50.77,7.0
08/28/2013,SELL,CSC,160,50.01,7.0
09/04/2013,BUY,AYI,57,86.61,7.0
09/04/2013,BUY,SALE,236,35.3,7.0
09/10/2013,BUY,TSLA,20,166.37,7.0
09/11/2013,SELL,SALE,236,32.61,7.0
09/11/2013,BUY,AKRX,449,18.58,7.0
09/16/2013,BUY,AVG,339,24.6,7.0
09/18/2013,BUY,QIHU,58,85.94,7.0
09/26/2013,BUY,AYI,36,92.15,7.0
10/03/2013,SELL,AVG,339,23.25,7.0
10/07/2013,BUY,FUL,189,44.04,7.0
10/08/2013,SELL,JCI,207,39.89,7.0
10/11/2013,BUY,TTM,258,32.32,7.0
10/23/2013,SELL,TTM,258,30.46,7.0
10/23/2013,SELL,TSLA,262,164.5,7.0
10/23/2013,BUY,NOAH,508,19.64,7.0
10/23/2013,BUY,CP,69,142.99,7.0
10/24/2013,BUY,QIHU,44,89.0,7.0
10/25/2013,SELL,NOAH,508,17.93,7.0
10/25/2013,BUY,CHH,213,46.78,7.0
10/28/2013,SELL,QIHU,317,81.9,7.0
10/28/2013,BUY,TMH,249,43.66,7.0
11/04/2013,BUY,AKRX,312,20.82,7.0
11/07/2013,SELL,CHH,213,44.97,7.0
11/07/2013,BUY,LOCK,699,15.58,7.0
11/12/2013,BUY,FUL,133,48.75,7.0
12/04/2013,BUY,FUL,86,50.16,7.0
12/09/2013,BUY,LOCK,380,17.09,7.0
12/11/2013,SELL,LOCK,1079,16.02,7.0
12/13/2013,BUY,AKRX,176,24.58,7.0
12/16/2013,BUY,GNTX,337,32.285,7.0
12/26/2013,BUY,TMH,141,45.9,7.0
01/02/2014,SELL,TMH,390,44.11,7.0
01/02/2014,BUY,XRS,515,21.15,7.0
01/07/2014,SELL,CP,69,146.92,7.0
01/07/2014,BUY,SPLK,144,75.39,7.0
01/08/2014,SELL,AKRX,937,22.89,7.0
01/09/2014,BUY,M,195,55.8,7.0
01/21/2014,SELL,FUL,408,49.43,7.0
01/21/2014,BUY,NVDQ,554,19.66,7.0
01/24/2014,SELL,NVDQ,554,18.84,7.0
01/29/2014,SELL,M,195,53.39,7.0
01/29/2014,SELL,SPLK,144,73.03,7.0
01/31/2014,SELL,GNTX,337,32.39,7.0
02/06/2014,BUY,GMT,191,56.74,7.0
02/07/2014,BUY,LVNTA,86,126.16,7.0
02/12/2014,BUY,SN,343,31.72,7.0
02/13/2014,BUY,TWC,75,144.81,7.0
02/14/2014,BUY,XRS,269,24.17,7.0
02/18/2014,SELL,SN,343,29.74,7.0
02/18/2014,BUY,NMBL,217,49.99,7.0
02/26/2014,SELL,TWC,75,137.76,7.0
02/26/2014,BUY,HEI,173,62.7,7.0
03/03/2014,SELL,NMBL,217,46.15,7.0
03/03/2014,BUY,STRZA,339,32.11,7.0
03/18/2014,BUY,LVNTA,45,142.31,7.0
03/21/2014,BUY,GMT,98,66.0,7.0
03/24/2014,SELL,XRS,784,22.11,7.0
03/24/2014,BUY,MFRM,230,47.23,7.0
03/26/2014,SELL,LVNTA,131,130.34,7.0
03/26/2014,SELL,HEI,173,58.74,7.0
03/27/2014,SELL,AYI,195,128.15,7.0
04/10/2014,SELL,STRZA,339,31.46,7.0
04/10/2014,SELL,MFRM,230,45.87,7.0
04/15/2014,BUY,BCPC,174,62.28,7.0
04/17/2014,BUY,WSO,104,104.18,7.0
04/21/2014,BUY,AZN,157,69.1,7.0
04/22/2014,SELL,AZN,157,66.86,7.0
04/28/2014,SELL,GMT,289,64.87,7.0
04/30/2014,BUY,ZBH,120,96.8,7.0
05/01/2014,BUY,KEX,108,107.84,7.0
05/06/2014,SELL,BCPC,174,58.0,7.0
05/14/2014,SELL,WSO,104,100.69,7.0
05/28/2014,BUY,CAL,371,29.3,7.0
06/02/2014,SELL,CAL,371,27.83,7.0
06/09/2014,BUY,MTSI,495,21.99,7.0
06/11/2014,BUY,LNG,163,66.58,7.0
06/11/2014,BUY,FCNCA,43,251.91,7.0
06/17/2014,BUY,JWA,181,60.1,7.0
06/25/2014,BUY,ZBH,61,105.37,7.0
06/30/2014,SELL,FCNCA,43,245.0,7.0
06/30/2014,BUY,APD,84,128.62,7.0
07/08/2014,SELL,MTSI,495,21.03,7.0
07/08/2014,BUY,TGNA,345,31.55,7.0
07/11/2014,BUY,KEX,55,116.49,7.0
07/17/2014,SELL,ZBH,181,100.71,7.0
07/24/2014,BUY,JMEI,364,29.86,7.0
07/29/2014,BUY,LNG,87,74.46,7.0
08/07/2014,SELL,JWA,181,58.94,7.0
08/07/2014,SELL,APD,84,131.16,7.0
08/07/2014,BUY,LEAF,367,29.65,7.0
08/22/2014,BUY,TGNA,191,33.95,7.0
08/25/2014,BUY,JMEI,197,32.86,7.0
08/25/2014,BUY,KMI,268,40.53,7.0
08/29/2014,SELL,JMEI,561,30.57,7.0
08/29/2014,BUY,GPRO,210,51.8,7.0
09/02/2014,BUY,KEX,35,120.63,7.0
09/04/2014,SELL,KMI,268,39.05,7.0
