Date,Action,Symbol,Shares,Price,Cost
01/09/2015,BUY,SRC,815,12.26,7.0
01/22/2015,BUY,TSM,421,23.71,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,TSM,421,22.71,7.0
02/09/2015,BUY,SXT,169,58.91,7.0
02/10/2015,SELL,SXT,169,58.82,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
02/10/2015,BUY,SXT,169,58.82,7.0
02/11/2015,SELL,SXT,169,59.35,7.0
02/11/2015,BUY,SCI,409,24.39,7.0
02/12/2015,BUY,SXT,165,60.22,7.0
02/18/2015,BUY,SRC,474,12.63,7.0
02/24/2015,SELL,SRC,1289,12.25,7.0
02/24/2015,BUY,VEEV,333,29.93,7.0
03/04/2015,SELL,VEEV,333,25.72,7.0
03/04/2015,BUY,SBUX,64,93.06,7.0
03/04/2015,BUY,JD,360,27.72,7.0
03/10/2015,BUY,SXT,93,64.01,7.0
03/31/2015,BUY,SCI,230,26.05,7.0
04/01/2015,BUY,JD,205,29.22,7.0
04/15/2015,SELL,SEE,220,44.46,7.0
04/17/2015,BUY,SCI,148,26.87,7.0
04/17/2015,BUY,NGHC,518,19.28,7.0
04/20/2015,BUY,SBUX,83,47.97,7.0
04/21/2015,BUY,SXT,58,67.76,7.0
04/30/2015,SELL,SXT,316,65.36,7.0
04/30/2015,BUY,JD,118,33.56,7.0
04/30/2015,BUY,IMS,362,27.59,7.0
05/06/2015,SELL,JD,683,32.48,7.0
05/15/2015,BUY,PAYC,283,35.29,7.0
05/21/2015,BUY,NGHC,301,19.89,7.0
05/26/2015,SELL,NGHC,819,19.17,7.0
05/26/2015,BUY,HEI,167,59.55,7.0
06/24/2015,BUY,PAYC,163,36.75,7.0
