Date,Action,Symbol,Shares,Price,Cost
01/09/2015,BUY,AYI,65,151.5,7.0
01/15/2015,BUY,HDB,179,55.66,7.0
01/22/2015,BUY,HELE,128,77.53,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/28/2015,BUY,KLIC,634,15.75,7.0
01/29/2015,BUY,VAR,106,94.04,7.0
01/30/2015,SELL,HELE,128,75.22,7.0
01/30/2015,SELL,KLIC,634,15.17,7.0
01/30/2015,BUY,BA,68,145.37,7.0
02/02/2015,BUY,NSP,240,41.57,7.0
02/05/2015,BUY,PRE,82,121.09,7.0
02/06/2015,BUY,EL,125,79.55,7.0
02/06/2015,BUY,BLL,141,70.61,7.0
02/09/2015,SELL,HDB,179,56.28,7.0
02/09/2015,BUY,ORLY,48,205.07,7.0
02/23/2015,SELL,PRE,82,115.28,7.0
02/23/2015,BUY,BJRI,187,53.43,7.0
03/06/2015,SELL,BLL,141,70.82,7.0
03/06/2015,BUY,AMBA,155,64.22,7.0
03/06/2015,SELL,ORLY,48,204.19,7.0
03/06/2015,BUY,CBRL,67,147.51,7.0
03/10/2015,SELL,BJRI,187,51.41,7.0
03/11/2015,SELL,EL,125,80.5,7.0
03/11/2015,BUY,BMY,152,65.6,7.0
03/24/2015,BUY,NSP,112,53.1,7.0
03/25/2015,SELL,VAR,106,92.72,7.0
03/25/2015,BUY,JUNO,186,53.48,7.0
03/25/2015,SELL,BMY,152,64.7,7.0
03/25/2015,BUY,NVRO,208,48.04,7.0
03/25/2015,SELL,BA,68,148.23,7.0
03/25/2015,BUY,EW,70,142.25,7.0
03/30/2015,BUY,SBUX,62,95.98,7.0
04/06/2015,SELL,EW,70,139.85,7.0
04/06/2015,BUY,SIG,71,139.76,7.0
04/07/2015,SELL,CBRL,67,147.61,7.0
04/07/2015,BUY,ALTR,241,41.36,7.0
04/08/2015,BUY,AYI,35,168.96,7.0
04/17/2015,SELL,SIG,71,132.41,7.0
04/20/2015,BUY,AMBA,80,74.56,7.0
04/24/2015,SELL,ALTR,241,40.89,7.0
04/24/2015,SELL,NSP,352,50.8,7.0
04/24/2015,BUY,SIMO,328,30.4,7.0
04/24/2015,BUY,ARRS,279,35.76,7.0
04/27/2015,SELL,JUNO,186,50.81,7.0
04/27/2015,BUY,MMSI,485,20.58,7.0
04/27/2015,BUY,DPZ,90,110.25,7.0
04/27/2015,SELL,NVRO,208,48.93,7.0
04/27/2015,BUY,PRE,77,128.57,7.0
04/30/2015,SELL,MMSI,485,19.41,7.0
04/30/2015,SELL,SIMO,328,29.31,7.0
04/30/2015,BUY,AVG,417,23.92,7.0
04/30/2015,BUY,CRM,137,72.82,7.0
05/06/2015,SELL,ARRS,279,33.44,7.0
05/06/2015,SELL,SBUX,350,48.93,7.0
05/06/2015,BUY,STJ,140,71.07,7.0
05/20/2015,SELL,CRM,137,70.16,7.0
05/20/2015,BUY,STMP,140,70.89,7.0
05/29/2015,SELL,STMP,140,67.29,7.0
05/29/2015,BUY,AMED,322,31.02,7.0
05/29/2015,BUY,DGX,132,75.23,7.0
06/02/2015,BUY,AYI,22,178.51,7.0
06/08/2015,SELL,DGX,132,73.84,7.0
06/08/2015,BUY,AVGO,72,138.63,7.0
06/09/2015,SELL,PRE,77,130.12,7.0
06/09/2015,BUY,CMN,192,52.0,7.0
06/25/2015,BUY,AMED,149,39.96,7.0
06/25/2015,SELL,AVGO,72,139.23,7.0
06/25/2015,BUY,TMH,150,66.41,7.0
06/29/2015,SELL,STJ,140,72.85,7.0
06/29/2015,BUY,HRC,181,55.08,7.0
06/29/2015,SELL,AYI,122,179.27,7.0
06/29/2015,BUY,ITCI,322,30.94,7.0
07/01/2015,BUY,AVG,218,27.43,7.0
07/09/2015,SELL,HRC,181,53.38,7.0
