Date,Action,Symbol,Shares,Price,Cost
01/03/2014,BUY,MKTO,202,41.22,7.0
01/03/2014,BUY,PFPT,244,34.18,7.0
01/07/2014,BUY,SPLK,110,75.39,7.0
01/09/2014,BUY,M,149,55.8,7.0
01/29/2014,SELL,M,149,53.39,7.0
01/29/2014,SELL,SPLK,110,73.03,7.0
01/29/2014,SELL,PFPT,244,34.91,7.0
02/03/2014,SELL,MKTO,202,38.83,7.0
02/10/2014,BUY,SALE,201,41.33,7.0
02/12/2014,BUY,SN,263,31.72,7.0
02/13/2014,BUY,TWC,57,144.81,7.0
02/18/2014,SELL,SN,263,29.74,7.0
02/19/2014,BUY,FLS,103,80.6,7.0
02/26/2014,BUY,HEI,133,62.7,7.0
03/04/2014,BUY,NUVA,212,39.29,7.0
03/06/2014,SELL,NUVA,212,37.29,7.0
03/10/2014,SELL,SALE,201,40.6,7.0
03/11/2014,BUY,EMES,166,50.1,7.0
03/13/2014,SELL,TWC,57,137.49,7.0
03/13/2014,SELL,FLS,103,75.74,7.0
03/26/2014,SELL,HEI,133,58.74,7.0
05/16/2014,SELL,EMES,166,76.4,7.0
05/28/2014,BUY,CAL,284,29.3,7.0
06/02/2014,SELL,CAL,284,27.83,7.0
06/17/2014,BUY,JWA,138,60.1,7.0
06/19/2014,BUY,GLOG,279,29.88,7.0
06/20/2014,BUY,GMLP,225,37.08,7.0
06/20/2014,BUY,KS,251,33.21,7.0
06/25/2014,BUY,GCI,272,30.67,7.0
06/26/2014,BUY,MEI,221,37.68,7.0
07/07/2014,SELL,GLOG,279,28.23,7.0
07/07/2014,SELL,KS,251,30.55,7.0
07/08/2014,SELL,MEI,221,35.76,7.0
07/11/2014,SELL,GMLP,225,35.05,7.0
08/07/2014,SELL,JWA,138,58.94,7.0
08/22/2014,BUY,GCI,147,33.95,7.0
09/04/2014,BUY,MEI,210,39.72,7.0
09/09/2014,SELL,GCI,419,32.38,7.0
09/25/2014,SELL,MEI,210,38.04,7.0
10/21/2014,BUY,AKRX,202,41.29,7.0
10/27/2014,BUY,EPAM,177,46.91,7.0
10/30/2014,BUY,BMY,141,58.98,7.0
10/30/2014,BUY,BIN,295,28.25,7.0
10/30/2014,BUY,CACI,101,82.05,7.0
10/31/2014,BUY,FLT,55,150.56,7.0
11/06/2014,SELL,AKRX,202,37.88,7.0
12/10/2014,SELL,FLT,55,143.9,7.0
12/16/2014,SELL,EPAM,177,46.24,7.0
12/16/2014,SELL,BMY,141,57.69,7.0
12/16/2014,SELL,CACI,101,83.36,7.0
12/18/2014,BUY,KRFT,131,63.38,7.0
12/23/2014,BUY,BIN,165,30.23,7.0
01/12/2015,SELL,BIN,460,28.85,7.0
01/23/2015,BUY,SBUX,94,88.22,7.0
02/10/2015,BUY,SEE,184,45.27,7.0
02/11/2015,BUY,SCI,342,24.39,7.0
02/13/2015,BUY,EIGI,428,19.49,7.0
03/06/2015,SELL,KRFT,131,62.02,7.0
03/09/2015,BUY,SBUX,53,93.04,7.0
03/11/2015,SELL,EIGI,428,18.11,7.0
03/30/2015,BUY,SBUX,34,95.98,7.0
04/01/2015,SELL,SBUX,181,93.02,7.0
04/01/2015,BUY,SCI,190,26.25,7.0
04/15/2015,SELL,SEE,184,44.46,7.0
04/28/2015,BUY,HQY,300,27.76,7.0
04/29/2015,BUY,XPO,170,48.83,7.0
04/30/2015,SELL,HQY,300,26.21,7.0
05/20/2015,BUY,TWC,50,166.55,7.0
05/26/2015,SELL,TWC,50,183.6,7.0
05/27/2015,BUY,AMED,263,31.67,7.0
06/05/2015,BUY,JUNO,122,68.36,7.0
06/09/2015,SELL,JUNO,122,62.14,7.0
06/09/2015,BUY,SCI,114,29.11,7.0
06/09/2015,BUY,CMN,160,52.0,7.0
06/12/2015,SELL,XPO,170,47.46,7.0
06/17/2015,BUY,RDUS,161,51.73,7.0
06/26/2015,BUY,W,218,38.18,7.0
