Date,Action,Symbol,Shares,Price,Cost
01/16/2015,BUY,AYI,55,150.64,7.0
01/22/2015,BUY,HELE,107,77.53,7.0
01/22/2015,BUY,AGU,77,107.2,7.0
01/23/2015,BUY,SBUX,94,88.22,7.0
01/30/2015,SELL,HELE,107,75.22,7.0
02/05/2015,BUY,BLL,115,72.03,7.0
02/06/2015,BUY,VAR,90,92.53,7.0
02/09/2015,BUY,KLIC,529,15.76,7.0
03/04/2015,SELL,BLL,115,71.3,7.0
03/04/2015,BUY,LCI,133,62.28,7.0
03/11/2015,SELL,KLIC,529,15.98,7.0
03/11/2015,BUY,OLN,282,29.54,7.0
03/19/2015,SELL,OLN,282,28.05,7.0
03/19/2015,SELL,AGU,77,106.95,7.0
03/19/2015,BUY,NVRO,166,50.01,7.0
03/25/2015,SELL,NVRO,166,48.04,7.0
03/26/2015,BUY,SFS,469,17.77,7.0
03/26/2015,BUY,SIG,61,135.0,7.0
03/30/2015,BUY,SBUX,52,95.98,7.0
04/08/2015,BUY,AYI,29,168.96,7.0
04/17/2015,SELL,SIG,61,132.41,7.0
04/17/2015,BUY,TSE,379,22.0,7.0
04/20/2015,BUY,LCI,74,66.75,7.0
04/27/2015,SELL,LCI,207,61.9,7.0
04/27/2015,SELL,SFS,469,17.71,7.0
04/29/2015,BUY,XPO,170,48.83,7.0
04/30/2015,SELL,VAR,90,88.85,7.0
04/30/2015,BUY,AVG,348,23.92,7.0
05/01/2015,BUY,BFAM,154,54.05,7.0
05/05/2015,SELL,TSE,379,21.83,7.0
05/05/2015,BUY,CLGX,215,38.7,7.0
05/08/2015,BUY,SBUX,66,49.78,7.0
05/29/2015,SELL,CLGX,215,38.98,7.0
05/29/2015,BUY,TTPH,194,42.88,7.0
06/01/2015,SELL,XPO,170,48.71,7.0
06/01/2015,BUY,AMED,260,32.05,7.0
06/02/2015,BUY,AYI,18,178.51,7.0
06/25/2015,BUY,AMED,125,39.96,7.0
06/29/2015,SELL,TTPH,194,43.17,7.0
07/01/2015,BUY,AVG,182,27.43,7.0
