Date,Action,Symbol,Shares,Price,Cost
01/15/2015,BUY,AYI,56,148.87,7.0
01/22/2015,BUY,HELE,107,77.53,7.0
01/22/2015,BUY,AGU,77,107.2,7.0
01/23/2015,BUY,SBUX,94,88.22,7.0
01/30/2015,SELL,HELE,107,75.22,7.0
01/30/2015,BUY,VAR,90,92.56,7.0
02/05/2015,BUY,KLIC,524,15.92,7.0
02/05/2015,BUY,BA,56,148.6,7.0
03/05/2015,BUY,AYI,31,159.95,7.0
03/06/2015,SELL,AGU,77,110.42,7.0
03/06/2015,BUY,AMBA,129,64.22,7.0
03/10/2015,SELL,VAR,90,92.53,7.0
03/10/2015,BUY,BMY,127,65.53,7.0
03/10/2015,SELL,KLIC,524,15.99,7.0
03/10/2015,BUY,OLN,287,29.0,7.0
03/19/2015,SELL,OLN,287,28.05,7.0
03/19/2015,BUY,NVRO,166,50.01,7.0
03/25/2015,SELL,NVRO,166,48.04,7.0
03/25/2015,BUY,JUNO,156,53.48,7.0
03/25/2015,SELL,BMY,127,64.7,7.0
03/25/2015,BUY,EW,58,142.25,7.0
03/30/2015,BUY,SBUX,52,95.98,7.0
03/31/2015,SELL,BA,56,150.08,7.0
03/31/2015,BUY,SFS,474,17.6,7.0
04/06/2015,SELL,EW,58,139.85,7.0
04/06/2015,BUY,SIG,59,139.76,7.0
04/08/2015,BUY,AYI,19,168.96,7.0
04/17/2015,SELL,SIG,59,132.41,7.0
04/17/2015,BUY,TSE,379,22.0,7.0
04/20/2015,BUY,AMBA,67,74.56,7.0
04/27/2015,SELL,JUNO,156,50.81,7.0
04/27/2015,SELL,SFS,474,17.71,7.0
04/29/2015,BUY,XPO,170,48.83,7.0
04/30/2015,BUY,AVG,348,23.92,7.0
05/05/2015,SELL,TSE,379,21.83,7.0
05/05/2015,BUY,BFAM,154,53.95,7.0
05/08/2015,BUY,SBUX,66,49.78,7.0
06/01/2015,SELL,XPO,170,48.71,7.0
06/01/2015,BUY,TTPH,200,41.66,7.0
06/12/2015,SELL,TTPH,200,41.56,7.0
06/12/2015,BUY,CMN,160,51.93,7.0
07/01/2015,BUY,AVG,182,27.43,7.0
