Date,Action,Symbol,Shares,Price,Cost
01/16/2015,BUY,AYI,66,150.64,7.0
01/22/2015,BUY,HELE,128,77.53,7.0
01/22/2015,BUY,AGU,93,107.2,7.0
01/23/2015,BUY,SBUX,113,88.22,7.0
01/30/2015,SELL,HELE,128,75.22,7.0
02/05/2015,BUY,BLL,138,72.03,7.0
02/09/2015,BUY,HAS,167,59.66,7.0
02/10/2015,SELL,AGU,93,106.0,7.0
02/10/2015,BUY,SEE,220,45.27,7.0
03/04/2015,SELL,BLL,138,71.3,7.0
03/04/2015,BUY,BMY,152,65.67,7.0
03/25/2015,SELL,BMY,152,64.7,7.0
03/25/2015,BUY,EW,70,142.25,7.0
03/26/2015,SELL,SEE,220,45.05,7.0
03/26/2015,BUY,SIG,74,135.0,7.0
03/30/2015,BUY,SBUX,62,95.98,7.0
03/31/2015,SELL,HAS,167,63.24,7.0
03/31/2015,BUY,NTDOY,542,18.43,7.0
04/08/2015,BUY,AYI,35,168.96,7.0
04/10/2015,SELL,SIG,74,137.02,7.0
04/10/2015,BUY,GE,350,28.51,7.0
04/21/2015,SELL,GE,350,26.62,7.0
04/27/2015,SELL,EW,70,130.97,7.0
04/29/2015,BUY,XPO,204,48.83,7.0
04/30/2015,BUY,AVG,417,23.92,7.0
05/01/2015,SELL,SBUX,350,50.29,7.0
05/01/2015,BUY,BFAM,184,54.05,7.0
05/05/2015,SELL,AYI,101,170.32,7.0
05/05/2015,BUY,CLGX,258,38.7,7.0
05/12/2015,SELL,BFAM,184,52.84,7.0
05/12/2015,BUY,IPAR,296,33.65,7.0
05/15/2015,SELL,IPAR,296,31.93,7.0
05/20/2015,BUY,TTPH,220,45.33,7.0
05/20/2015,SELL,XPO,204,49.44,7.0
05/20/2015,BUY,TWC,60,166.55,7.0
05/22/2015,SELL,TTPH,220,42.94,7.0
05/26/2015,SELL,TWC,60,183.6,7.0
05/27/2015,BUY,AMED,315,31.67,7.0
05/29/2015,BUY,NTDOY,283,21.16,7.0
05/29/2015,BUY,DGX,132,75.23,7.0
06/09/2015,SELL,DGX,132,73.71,7.0
06/09/2015,BUY,CMN,192,52.0,7.0
06/17/2015,SELL,CLGX,258,37.54,7.0
06/17/2015,BUY,RDUS,193,51.73,7.0
06/19/2015,SELL,NTDOY,825,19.99,7.0
06/19/2015,BUY,BRLI,251,39.77,7.0
06/25/2015,BUY,AMED,149,39.96,7.0
07/01/2015,BUY,AVG,218,27.43,7.0
