Date,Action,Symbol,Shares,Price,Cost
01/07/2013,BUY,NSM,257,38.83,7.0
01/09/2013,BUY,HCSG,404,24.72,7.0
01/15/2013,BUY,ASGN,435,22.94,7.0
01/16/2013,BUY,PRLB,233,42.71,7.0
01/18/2013,SELL,NSM,257,35.81,7.0
01/29/2013,BUY,DHI,419,23.82,7.0
01/30/2013,BUY,HES,147,67.88,7.0
01/30/2013,BUY,PLT,240,41.53,7.0
01/31/2013,BUY,TIVO,749,13.34,7.0
02/04/2013,SELL,PLT,240,39.34,7.0
02/06/2013,SELL,PRLB,233,39.99,7.0
02/06/2013,BUY,AGO,510,19.56,7.0
02/15/2013,SELL,ASGN,435,21.87,7.0
02/20/2013,SELL,DHI,419,21.93,7.0
02/20/2013,SELL,AGO,510,18.55,7.0
02/20/2013,BUY,SFLY,244,40.79,7.0
02/21/2013,SELL,HES,147,64.4,7.0
02/21/2013,SELL,TIVO,749,12.66,7.0
02/22/2013,SELL,HCSG,404,23.89,7.0
02/25/2013,BUY,JCOM,285,34.98,7.0
02/27/2013,BUY,BLOX,467,21.38,7.0
03/01/2013,BUY,SSTK,307,32.52,7.0
03/08/2013,BUY,MBI,799,12.5,7.0
03/18/2013,SELL,MBI,799,11.79,7.0
03/18/2013,BUY,CVLT,121,82.45,7.0
03/25/2013,SELL,BLOX,467,20.89,7.0
03/28/2013,BUY,SIG,149,67.0,7.0
04/02/2013,BUY,JCOM,155,38.46,7.0
04/03/2013,SELL,CVLT,121,76.41,7.0
04/03/2013,BUY,TSLA,243,41.1,7.0
04/05/2013,BUY,SSTK,147,40.57,7.0
04/05/2013,BUY,NKE,169,58.97,7.0
04/10/2013,BUY,FSLR,275,36.32,7.0
04/17/2013,BUY,SSTK,94,42.43,7.0
04/18/2013,SELL,SIG,149,65.63,7.0
04/18/2013,BUY,THRX,306,32.56,7.0
04/19/2013,BUY,SFLY,136,44.06,7.0
04/24/2013,SELL,THRX,306,30.54,7.0
04/24/2013,BUY,ARMH,221,45.06,7.0
05/02/2013,BUY,JCOM,99,40.1,7.0
05/06/2013,SELL,SFLY,380,43.38,7.0
05/06/2013,BUY,TREX,189,52.7,7.0
05/17/2013,BUY,NKE,91,65.32,7.0
05/23/2013,SELL,ARMH,221,45.37,7.0
05/28/2013,SELL,NKE,260,63.28,7.0
05/28/2013,BUY,INXN,370,27.0,7.0
05/29/2013,BUY,FSLR,115,51.76,7.0
06/05/2013,SELL,TREX,189,52.26,7.0
06/06/2013,SELL,SSTK,548,44.04,7.0
06/06/2013,BUY,TIVO,728,13.71,7.0
06/07/2013,SELL,TIVO,728,11.1,7.0
06/13/2013,BUY,KKD,578,17.26,7.0
06/14/2013,SELL,FSLR,390,44.71,7.0
06/20/2013,SELL,INXN,370,25.05,7.0
06/21/2013,BUY,CIEN,504,19.79,7.0
06/24/2013,SELL,KKD,578,16.64,7.0
06/27/2013,BUY,PTLA,414,24.13,7.0
07/01/2013,BUY,ICPT,227,43.89,7.0
07/02/2013,BUY,AYI,122,81.39,7.0
07/17/2013,BUY,TSLA,49,120.25,7.0
07/19/2013,BUY,SVU,1350,7.39,7.0
07/22/2013,BUY,SFUN,329,30.32,7.0
07/29/2013,SELL,ICPT,227,44.07,7.0
07/29/2013,BUY,LL,106,93.68,7.0
07/30/2013,BUY,CIEN,268,22.35,7.0
07/30/2013,SELL,PTLA,414,23.07,7.0
07/30/2013,BUY,POWI,191,52.07,7.0
08/15/2013,SELL,SVU,1350,7.3,7.0
08/16/2013,SELL,CIEN,772,21.04,7.0
08/16/2013,BUY,LOCK,815,12.26,7.0
09/04/2013,BUY,AYI,69,86.61,7.0
09/10/2013,BUY,TSLA,24,166.37,7.0
09/26/2013,BUY,AYI,43,92.15,7.0
09/30/2013,SELL,POWI,191,54.16,7.0
09/30/2013,BUY,AVG,417,23.94,7.0
10/01/2013,BUY,LL,55,108.69,7.0
10/04/2013,BUY,SFUN,119,50.36,7.0
10/07/2013,SELL,AVG,417,23.55,7.0
10/10/2013,BUY,LOCK,430,13.92,7.0
10/17/2013,BUY,LOCK,277,14.37,7.0
10/23/2013,SELL,TSLA,316,164.5,7.0
10/23/2013,BUY,NOAH,610,19.64,7.0
10/23/2013,BUY,VRTU,380,31.51,7.0
10/23/2013,BUY,EGOV,486,24.67,7.0
10/25/2013,SELL,NOAH,610,17.93,7.0
10/29/2013,SELL,LOCK,1522,13.68,7.0
10/29/2013,BUY,LOGM,367,32.6,7.0
10/30/2013,BUY,LOCK,758,15.82,7.0
11/01/2013,SELL,LOGM,367,30.62,7.0
11/01/2013,BUY,GMED,631,18.98,7.0
11/04/2013,SELL,EGOV,486,23.64,7.0
11/04/2013,BUY,NXPI,282,42.475,7.0
11/06/2013,SELL,JCOM,539,49.95,7.0
11/06/2013,BUY,GNRC,271,47.79,7.0
11/06/2013,BUY,AZPN,339,38.27,7.0
11/07/2013,SELL,NXPI,282,40.72,7.0
11/08/2013,BUY,LL,45,113.33,7.0
11/08/2013,BUY,ACHC,301,43.06,7.0
11/22/2013,SELL,LL,206,101.81,7.0
11/22/2013,BUY,A,241,53.85,7.0
11/26/2013,BUY,SFUN,79,65.62,7.0
11/26/2013,BUY,VRTU,224,34.79,7.0
12/11/2013,SELL,LOCK,758,16.02,7.0
12/11/2013,BUY,TWTR,248,52.34,7.0
12/30/2013,BUY,ACHC,163,47.76,7.0
01/06/2014,BUY,VRTU,138,37.41,7.0
01/07/2014,BUY,AZPN,185,42.05,7.0
01/09/2014,SELL,VRTU,742,34.12,7.0
01/15/2014,BUY,GNRC,141,55.24,7.0
01/16/2014,SELL,GNRC,412,50.89,7.0
01/16/2014,BUY,HTH,527,24.61,7.0
01/24/2014,SELL,AZPN,524,41.42,7.0
01/24/2014,BUY,NVDQ,689,18.84,7.0
01/29/2014,SELL,HTH,527,23.75,7.0
02/03/2014,SELL,A,241,56.15,7.0
02/05/2014,SELL,ACHC,464,48.12,7.0
02/05/2014,SELL,SFUN,527,72.26,7.0
02/05/2014,BUY,VGR,841,17.82,7.0
02/06/2014,SELL,TWTR,248,50.03,7.0
02/06/2014,BUY,EAT,309,48.47,7.0
02/07/2014,SELL,NVDQ,689,18.15,7.0
02/07/2014,BUY,GMT,259,57.83,7.0
02/07/2014,BUY,LVNTA,118,126.16,7.0
02/10/2014,BUY,SALE,362,41.33,7.0
02/11/2014,BUY,REGN,45,326.52,7.0
02/11/2014,BUY,SCOR,483,31.0,7.0
02/12/2014,BUY,SN,472,31.72,7.0
02/13/2014,BUY,GMED,380,23.64,7.0
02/18/2014,SELL,SN,472,29.74,7.0
03/10/2014,SELL,SALE,362,40.6,7.0
03/10/2014,BUY,ZU,263,56.88,7.0
03/13/2014,SELL,SCOR,483,30.85,7.0
03/13/2014,BUY,EMES,299,49.98,7.0
03/14/2014,BUY,EAT,170,52.87,7.0
03/18/2014,BUY,LVNTA,63,142.31,7.0
03/21/2014,SELL,REGN,45,310.79,7.0
03/21/2014,BUY,GMT,136,66.0,7.0
03/24/2014,SELL,ZU,263,54.91,7.0
03/24/2014,SELL,EAT,479,51.7,7.0
03/24/2014,BUY,MFRM,317,47.23,7.0
03/25/2014,BUY,GMED,231,25.86,7.0
03/25/2014,BUY,VGR,423,21.23,7.0
03/26/2014,SELL,LVNTA,181,130.34,7.0
03/27/2014,SELL,AYI,234,128.15,7.0
04/03/2014,BUY,FSLR,233,68.46,7.0
04/03/2014,BUY,BCPC,261,61.27,7.0
04/03/2014,BUY,APC,161,99.02,7.0
04/07/2014,SELL,BCPC,261,59.2,7.0
04/09/2014,SELL,GMED,1242,24.35,7.0
04/10/2014,SELL,MFRM,317,45.87,7.0
04/10/2014,BUY,ECOL,387,41.24,7.0
04/15/2014,SELL,FSLR,233,66.39,7.0
04/21/2014,BUY,AZN,231,69.1,7.0
04/22/2014,SELL,AZN,231,66.86,7.0
04/25/2014,BUY,ZBH,159,100.54,7.0
04/28/2014,SELL,GMT,395,64.87,7.0
04/29/2014,BUY,WLK,226,70.53,7.0
04/30/2014,SELL,ZBH,159,96.8,7.0
04/30/2014,BUY,HURN,224,71.2,7.0
05/01/2014,SELL,HURN,224,68.61,7.0
05/01/2014,BUY,KFRC,680,23.5,7.0
05/05/2014,SELL,KFRC,680,22.19,7.0
05/05/2014,BUY,CBG,557,28.71,7.0
05/13/2014,SELL,VGR,1264,20.18,7.0
05/13/2014,BUY,FISV,261,61.27,7.0
05/15/2014,BUY,IBN,344,46.37,7.0
05/20/2014,SELL,FISV,261,59.23,7.0
05/21/2014,BUY,TIF,166,96.3,7.0
05/23/2014,BUY,WSM,235,67.98,7.0
05/28/2014,BUY,CAL,545,29.3,7.0
05/28/2014,BUY,JWN,237,67.45,7.0
06/02/2014,SELL,CAL,545,27.83,7.0
